Bacteria,Database,Keyword,Hits
02d06,BacMet,sulfate reduction,[]
02d06,BacMet,metal reduction,[]
02d06,BacMet,iron oxidation,[]
02d06,BacMet,corrosion,[]
02d06,BacMet,MIC,[]
02d06,BacMet,biofilm,[]
02d06,BacMet,EPS production,[]
02d06,KEGG,sulfate reduction,"['', '']"
02d06,KEGG,metal reduction,"['', '']"
02d06,KEGG,iron oxidation,"['', '']"
02d06,KEGG,corrosion,"['', '']"
02d06,KEGG,MIC,"['', '']"
02d06,KEGG,biofilm,"['', '']"
02d06,KEGG,EPS production,"['', '']"
