Family,Genus
Clostridiaceae,02d06
Eubacteriaceae,Acetobacterium
Acholeplasmataceae,Acholeplasma
Veillonellaceae,Acidaminococcus
Comamonadaceae,Acidovorax
HTCC2089,Acinetobacter
Pasteurellaceae,Actinobacillus
Actinomycetaceae,Actinobaculum
Actinomycetaceae,Actinomyces
Coriobacteriaceae,Adlercreutzia
Nocardioidaceae,Aeromicrobium
Rikenellaceae,AF12
Pasteurellaceae,Aggregatibacter
Rhizobiaceae,Agrobacterium
Microbacteriaceae,Agrococcus
Verrucomicrobiaceae,Akkermansia
Alcanivoracaceae,Alcanivorax
Clostridiaceae,Alkaliphilus
Aerococcaceae,Alloiococcus
Ruminococcaceae,Anaerofilum
Lachnospiraceae,Anaerostipes
Ruminococcaceae,Anaerotruncus
Veillonellaceae,Anaerovibrio
Bacillaceae,Anoxybacillus
Campylobacteraceae,Arcobacter
Intrasporangiaceae,Arsenicicoccus
Micrococcaceae,Arthrobacter
Rhodocyclaceae,Azospira
Thermicanaceae,Bacillus
Bacteroidaceae,Bacteroides
Bifidobacteriaceae,Bifidobacterium
Desulfovibrionaceae,Bilophila
Lachnospiraceae,Blautia
Rikenellaceae,Blvii28
Bradyrhizobiaceae,Bosea
Dermabacteraceae,Brachybacterium
Bradyrhizobiaceae,Bradyrhizobium
Brevibacteriaceae,Brevibacterium
Caulobacteraceae,Brevundimonas
Erysipelotrichaceae,Bulleidia
Burkholderiaceae,Burkholderia
Lachnospiraceae,Butyrivibrio
Rhodocyclaceae,C39
Clostridiaceae,Caloramator
Campylobacteraceae,Campylobacter
Solibacteraceae,Candidatus Solibacter
Erysipelotrichaceae,Catenibacterium
Erysipelotrichaceae,cc_115
Cellulomonadaceae,Cellulomonas
Beijerinckiaceae,Chelatococcus
Christensenellaceae,Christensenella
Enterobacteriaceae,Citrobacter
Synergistaceae,Cloacibacillus
Clostridiaceae,Clostridiisalibacter
Clostridiaceae,Clostridium
Oxalobacteraceae,Collimonas
Coriobacteriaceae,Collinsella
Comamonadaceae,Comamonas
Erysipelotrichaceae,Coprobacillus
Lachnospiraceae,Coprococcus
Corynebacteriaceae,Corynebacterium
Comamonadaceae,Curvibacter
Rhodocyclaceae,Dechloromonas
Peptococcaceae,Dehalobacter_Syntrophobotulus
Dehalobacteriaceae,Dehalobacterium
Comamonadaceae,Delftia
Dermabacteraceae,Dermabacter
Peptococcaceae,Desulfitobacter
Peptococcaceae,Desulfosporosinus
Peptococcaceae,Desulfotomaculum
Desulfovibrionaceae,Desulfovibrio
Peptococcaceae,Desulfurispora
Hyphomicrobiaceae,Devosia
Veillonellaceae,Dialister
Lachnospiraceae,Dorea
Cytophagaceae,Dyadobacter
Coriobacteriaceae,Eggerthella
Moraxellaceae,Enhydrobacter
