,GID,Site_2,Site_5,Site_11,Site_12,Site_14,Site_23,Site_30,Site_32,Site_34,Site_36,Site_37,Site_41,Site_42,Site_43,Site_44,Site_45,Site_46,Site_47,Site_48,Site_49,Site_50,Site_51,Site_52,Site_53,Site_54,Site_55,Site_56,Site_61,Site_62,Site_63
5,6,1.05,0.1179,0.0,0.0,0.0,0.0,0.0364,0.0,0.3542,0.0,0.3792,0.2135,1.0343,4.9454,0.0043,0.0,0.1631,0.5131,0.0,0.0,0.2365,0.0,0.0,0.4496,0.0,0.0,0.0,0.0,0.5317,0.6803
6,7,0.0,0.1409,1.147,0.0022,44.1188,0.0,0.2401,0.0,0.0,0.0012,0.1083,0.2316,0.0,0.0064,0.0,0.0,0.0,0.0012,0.4164,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0186,0.0462,0.1003
7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0,0.0,0.1089,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0271,0.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.0131
11,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0174
12,13,0.0,0.0,0.0,0.0,0.0,49.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,0.126,0.9487,0.0292,0.0,0.0072,0.0,1.9304,8.84,0.4752,0.0,1.571,1.3354,3.5384,1.5999,10.3039,0.0036,0.169,1.089,9.2996,1.1702,1.8329,0.0032,0.0,41.7533,0.0135,16.6715,2.6088,0.7624,1.9186,2.0323
17,18,0.357,0.0776,0.5273,0.0,0.0,0.0,0.1649,0.0,0.0717,0.0,0.0271,0.0361,0.1089,0.0086,0.0086,0.0,0.0438,0.0182,0.0,0.0,0.0,0.0032,0.0,0.0,0.0027,0.0,0.0,0.0744,0.0231,0.0829
19,20,0.0,0.023,0.0,0.0,0.0,0.0,0.194,0.0,0.0,0.0,0.8126,0.797,0.0,0.0,0.1681,0.0,0.0,0.0,0.0075,0.0,0.0,0.073,0.0,0.0,3.819,0.0,0.0,0.0186,0.0,0.0305
