EC	Genus
EC:1.1.1.1	Acidovorax
EC:1.1.1.1	Dechloromonas
EC:1.1.1.1	Silanimonas
EC:1.1.1.1	Propionivibrio
EC:1.1.1.1	Ruminiclostridium_1
EC:1.1.1.1	Achromobacter
EC:1.1.1.1	Blastomonas
EC:1.1.1.1	Bacillus
EC:1.1.1.1	Bradyrhizobium
EC:1.1.1.1	Sphingomonas
EC:1.1.1.1	Brevundimonas
EC:1.1.1.1	Variovorax
EC:1.1.1.1	Phenylobacterium
EC:1.1.1.1	Pseudoxanthomonas
EC:1.1.1.1	Geothrix
EC:1.1.1.1	Shewanella
EC:1.1.1.1	Gelria
EC:1.1.1.1	Sphingopyxis
EC:1.1.1.1	Caulobacter
EC:1.1.1.1	Novosphingobium
EC:1.1.1.100	Ruminiclostridium_1
EC:1.1.1.103	Pseudorhodoferax
EC:1.1.1.11	Pseudorhodoferax
EC:1.1.1.122	Pseudorhodoferax
EC:1.1.1.122	Caulobacter
EC:1.1.1.125	Propionivibrio
EC:1.1.1.130	Propionivibrio
EC:1.1.1.133	Ruminiclostridium_1
EC:1.1.1.136	Geothrix
EC:1.1.1.137	Streptococcus
EC:1.1.1.14	Propionivibrio
EC:1.1.1.14	Ruminiclostridium_1
EC:1.1.1.14	Geothrix
EC:1.1.1.14	Propionibacterium
EC:1.1.1.157	Simplicispira
EC:1.1.1.157	Dechloromonas
EC:1.1.1.157	Propionivibrio
EC:1.1.1.157	Ruminiclostridium_1
EC:1.1.1.157	Gelria
EC:1.1.1.157	Azospira
EC:1.1.1.169	Ruminiclostridium_1
EC:1.1.1.17	Bacillus
EC:1.1.1.173	Caulobacter
EC:1.1.1.203	Pseudorhodoferax
EC:1.1.1.205	Ruminiclostridium_1
EC:1.1.1.206	Silanimonas
EC:1.1.1.215	Simplicispira
EC:1.1.1.215	Pseudorhodoferax
EC:1.1.1.219	Desulfovibrio
EC:1.1.1.22	Ruminiclostridium_1
EC:1.1.1.23	Ruminiclostridium_1
EC:1.1.1.25	Ruminiclostridium_1
EC:1.1.1.25	Erysipelothrix
EC:1.1.1.25	Geothrix
EC:1.1.1.26	Propionivibrio
EC:1.1.1.26	Blastomonas
EC:1.1.1.26	Geothrix
EC:1.1.1.261	Propionibacterium
EC:1.1.1.262	Geothrix
EC:1.1.1.262	Pseudorhodoferax
EC:1.1.1.262	Smithella
EC:1.1.1.264	Propionivibrio
EC:1.1.1.264	Pseudorhodoferax
EC:1.1.1.267	Ruminiclostridium_1
EC:1.1.1.27	Ruminiclostridium_1
EC:1.1.1.27	Bacillus
EC:1.1.1.27	Gelria
EC:1.1.1.271	Ruminiclostridium_1
EC:1.1.1.276	Silanimonas
EC:1.1.1.276	Sphingopyxis
EC:1.1.1.28	Silanimonas
EC:1.1.1.28	Ruminiclostridium_1
EC:1.1.1.28	Paracoccus
EC:1.1.1.28	Caulobacter
EC:1.1.1.284	Silanimonas
EC:1.1.1.284	Methylocystis
EC:1.1.1.29	Dechloromonas
EC:1.1.1.29	Propionivibrio
EC:1.1.1.29	Ruminiclostridium_1
EC:1.1.1.29	Azospira
EC:1.1.1.298	Blastomonas
EC:1.1.1.3	Silanimonas
EC:1.1.1.3	Ruminiclostridium_1
EC:1.1.1.30	Silanimonas
EC:1.1.1.303	Paracoccus
EC:1.1.1.303	Staphylococcus
EC:1.1.1.304	Blastomonas
EC:1.1.1.304	Pseudorhodoferax
EC:1.1.1.31	Propionivibrio
EC:1.1.1.31	Nitrospira
EC:1.1.1.31	Erysipelothrix
EC:1.1.1.312	Blastomonas
EC:1.1.1.312	Pseudorhodoferax
