pathway	site_1	site_2	site_3	site_4	site_5	site_6	site_7	site_8	site_9	site_10	site_11	site_12	site_13	site_14	site_15	site_16	site_17	site_18	site_19	site_20	site_21	site_22	site_23	site_24	site_25	site_26	site_27	site_28	site_29	site_30	site_31	site_32	site_33	site_34	site_35	site_36	site_37	site_38	site_39	site_40	site_41	site_42	site_43	site_44	site_45	site_46	site_47	site_48	site_49	site_50	site_51	site_52	site_53	site_54	site_55	site_56	site_57	site_58	site_59	site_60	site_61	site_62	site_63	site_64	site_65	site_66	site_67	site_68	site_69	site_70
1CMET2-PWY	712031.8763488109	744503.3068099726	722113.2272838707	602356.6982912563	582966.7397602921	479108.7877363389	687580.570714893	478565.74002012995	720167.5088725047	432794.46063919505	650890.0191577703	527035.1586681394	780574.544898832	551851.2313994083	667120.6703449552	975150.9589001338	654430.5477388892	818387.9661277959	536306.9489221739	990051.558320734	582355.731994676	581674.1371358014	672656.4956039077	889630.068638925	761133.9444451258	507601.9497983959	828440.1226451424	643284.4904984744	759841.2580777045	479961.18422955344	970999.9104548066	611202.2106485716	685981.651240301	1074760.7208366673	412641.9771073386	625166.406621524	676662.1606352512	714907.9692914326	883790.294642241	897062.8457869234	876966.9898127628	706074.1812954154	670595.2914132472	805331.3348132588	822271.6352989014	517449.07110555645	816287.6845936767	865220.6383118057	842216.498832315	1045550.4048581773	863408.5559157353	849351.5871659527	923773.6021368321	653638.5730368209	669644.640843876	717870.0703571412	800034.9027315336	768574.7162517223	809012.0297183101	305198.6745810657	742540.6909727647	731645.4737888047	731382.1986883048	862014.8972660784	611350.2632534818	881374.6784037987	174196.26868375443	655945.3954572666	167274.33284072223	192108.9388129498
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	42738.020559473254	32067.802902487314	22518.04936518488	16400.28027169616	28972.846668043087	0.0	24544.635827873823	0.0	33914.21915375154	0.0	26427.19074412067	55001.43069847748	42914.663912974414	17624.35757313147	31807.8279889339	56866.70466863794	23404.59109535292	80620.39636296825	296582.653886713	1520.4245144780268	7103.647061527992	214110.3302109404	36179.205482085024	1773.6680656796914	76146.56416928787	268239.5369136025	231514.38516897816	97829.66627527434	222999.85179791777	55816.62748416275	3803.9670517266136	30317.988042685272	230949.95707328804	16421.178895608096	2214.816368844213	53889.844762350534	35020.118559061106	38974.190427540765	31690.152938964857	8405.863955584973	11211.625251406409	74280.12371789948	277065.23737858405	8161.336757380644	85318.7112543217	119.18865184564645	32403.75555836745	192909.4942547608	16298.456004488753	55.91096798003694	22774.56996317451	629978.198150088	10489.716337259657	101.6164763439879	453.28867320525814	37916.1966910724	34690.06047131005	45018.26625484889	48160.42411614217	38652.77871317423	117923.72915695643	59205.7905136304	59717.02560228759	13891.571748400973	54296.21467614796	8926.49872773522	59323.34735777901	78752.36916898316	23769.97358980645	2276.3875089697744
ANAEROFRUCAT-PWY	620988.2013981362	825641.5119580069	773539.4084633372	690031.762784405	651300.7554843267	478977.95485986123	727355.9639675843	435645.51204053086	565460.4740810865	255176.8147347175	691791.0262798953	514684.5467960997	530931.187259659	521081.7002517377	731771.495493418	591587.5332836915	651919.7365495604	664962.8052277004	387622.13022879517	742221.7860551818	457883.18844068237	375757.0853357315	765357.2139518353	676983.1968421495	634090.2943927471	395250.40456338355	350833.4493594993	578997.575036055	650274.5677852463	350042.6218680024	945756.1109490818	636421.3600784156	745835.1747462763	400335.5340063293	434071.19975715457	747443.145324781	694925.3916418707	510033.4730281163	275110.5602959221	1059366.7408093777	575333.2593577587	547456.4447207784	343099.13301883393	281689.83291046467	615105.0627880523	497553.51428481296	511638.6540204139	740515.4747166204	754956.6146567686	666216.5243999348	390375.1673125921	590584.1433299765	266396.7404164779	576025.4167630128	524570.1534937589	549730.3448497412	645146.4303850986	699440.3949730726	780561.4424049079	281072.67034038523	416247.51436669164	775836.0873868988	723141.636028565	593566.0330875312	614429.3085785973	769592.7980591342	115640.61028727052	499106.97973461176	142907.79291888382	150391.58690361588
ANAGLYCOLYSIS-PWY	672862.7475395267	843182.864630445	796400.9512969751	726794.2514740526	673296.2580642515	717206.9914042233	874304.0731418178	646036.7887838106	719058.6127655994	415795.3030779692	792964.9247583173	696520.5273213217	882883.8967143003	679183.9937024672	832337.3194176279	915875.5514019114	827825.5742742788	822439.2621469316	467472.78183356614	929742.8516841908	536970.6209690289	405052.09349722194	862615.611062701	995417.4990976586	764757.4771540684	494551.99642550416	772493.8004589214	635827.8502551061	864658.0638083667	442910.7076429462	972689.1908515834	722915.8140035871	784906.110128111	816965.3394681414	487472.43032783834	841805.7966578824	929797.3706435888	673485.3660702872	324554.37110813643	1038402.4246447752	801161.8414536607	674511.3861998636	476751.1425054495	528010.4076764495	882898.8507724543	571207.2631456485	552161.5208744076	773816.6400677975	903059.7375665308	970978.1264423218	1078570.5275240585	586482.375333704	1112540.1877408032	611279.6077665004	622945.4485257694	720114.5114711612	764405.0245681737	742244.4459428173	790849.2868779798	414431.40407328395	728350.2462254323	859887.5260971041	833182.7939946409	1024451.7914383826	715564.3484115347	997626.9078603759	121984.6742968053	649402.5693782157	170894.0932199986	197106.6927787075
ARG+POLYAMINE-SYN	287410.39142416057	281477.51709615806	286796.7332591966	216268.3153758045	239929.94583628385	360837.90033016633	451691.93594325037	307593.44943956955	307784.49116525374	156506.43012387925	133855.06932085525	214343.29424505122	150063.9454488549	147390.20481125033	338468.5178762937	186866.1044468465	520703.2959734569	362908.1148026187	95.97526565655832	42136.49297328328	46174.29504123326	369458.5685820392	419695.6170787953	316368.7749810512	493238.91953311407	151588.5269812617	365453.76279545424	283547.9161697141	473723.75182544783	211016.94979453608	317207.0493419894	268511.03057615884	445281.93430477555	212660.92411933662	235398.33279132476	308299.2821681954	559937.375413161	213209.83022640433	102751.71102085114	123463.623309524	238815.0856564165	252477.31658940614	476753.5739509702	107801.63344770628	203836.87702037088	256842.07768403704	120990.26628459444	523212.9520657271	247926.2629883517	80.70676438850265	14334.647236647073	542429.8960958357	9473.968603759256	169077.81784611812	39362.701302123525	125147.45723493696	188760.51701664555	285759.1131535454	281577.94055466104	143029.49701267175	180887.5903321716	440659.81858818204	438741.7888826008	259825.4849495072	262738.775207243	314146.87484440266	100088.21312287558	169885.99911010553	64640.702959593626	84812.45570880972
ARGORNPROST-PWY	141604.99242327907	328488.91474094475	271987.42204415484	362267.2246925738	270606.5479244109	0.0	123079.03492584314	0.0	133338.44586933195	0.0	199190.16061602268	171424.30414147535	124722.89243271803	198774.26096028072	252454.65541605878	115336.06962853266	105023.32822854213	143379.2930863806	125.96685853975715	6239.0475243706205	146354.97450857263	225533.90631716955	205414.79060673589	285093.35956730065	65973.0596042475	1526.7505821807454	165294.6032471707	32419.130509897022	118751.36213600227	96094.03934423896	0.0	199690.2743346859	131326.92365083276	77936.5140366443	20106.725108515897	71718.51582751557	86902.3895843769	128994.72784344203	45925.41350232977	38064.441882047846	3318.122572696335	97811.69006922231	221652.41118311993	8180.203746072602	129716.56413551795	27105.017820326775	127737.74285621884	96080.47038588118	194573.35274087064	1124.4347759618367	228797.0165674394	69822.285333511	26065.387631747257	1915.7482483823794	2738.5522246286096	173604.40871277757	113138.0885906995	24955.099010689915	38651.55174547223	49387.04643711054	13770.201157667427	51043.183885165105	45751.35308223998	367856.4915567489	75166.5613688222	589742.5941399684	50333.28235770081	132694.07442270007	27795.36974350105	72567.95978751803
ARGSYN-PWY	535046.2833365387	769989.6941656646	727248.0281314721	628514.122229598	574356.6247762968	634618.0344990921	826688.7468034339	657911.5885349776	724396.3499323179	538368.2563533008	609034.9430665632	520833.19184221415	469639.53820131277	511447.49549708614	717883.2435941064	660249.1659628984	752779.8512328258	688072.7149313615	533449.264158318	789998.0568773182	379070.1469832873	498857.2795587682	821451.7226952816	602842.5839400355	735697.2394480938	425576.60976556444	809060.0558592954	519944.04039030604	732139.3812345673	361001.6756188014	487627.5623497868	689084.9718466548	732040.2301888664	788441.2156242926	418148.816497685	742452.8403741558	880148.9611468794	463214.37227106345	349706.9513375987	882294.7086858598	624639.0679790769	522849.7481690598	631515.2254252571	414670.36419901316	814981.7059344297	508928.98802690144	402185.40818021056	852037.1767185004	725274.1381874422	1009698.355977803	894142.0787290059	955644.3472518133	942169.2846721107	445266.26652070484	502991.98224250146	617989.4902667864	620548.3305949265	558641.0434948311	549181.239908713	354743.99189523456	659929.550148753	710576.8851763991	718443.7962479211	758109.6084990554	477568.4555198782	472199.2712541254	143570.47344995308	619443.4209135668	149422.2397782279	142906.94472742482
ARGSYNBSUB-PWY	799901.9472374715	822425.0256386241	767133.2197921678	665003.5106470948	621044.0786162782	768825.2093409378	988605.8329728943	745836.7024476657	762383.6048830799	553500.9732356676	621789.842212002	563024.694826573	349328.89992041676	540389.3754841961	750093.1657476546	574498.5804975921	774897.4880961585	595248.9393433895	599394.4637719548	1019304.0794667742	619366.3142230832	514746.1392996215	874571.2445467231	581182.8085915605	837793.4009590842	595526.4288096403	823744.8994993067	691993.671646301	807516.2164460449	509027.89573334594	1089728.1960618848	714073.9289698047	876700.0134628828	869793.2573938848	504644.4421733711	835639.0364374338	1027922.6071666151	735173.0245967808	1032314.2158020173	938752.6938726697	1074303.5971448475	792377.7569533741	661243.7752864651	1003238.8633220157	877886.9752382395	639586.2963755516	940916.3696596697	928039.7058777639	872206.6600665973	1122070.3336419035	931728.3624518731	986353.9963238604	977092.0382182024	715500.1023894353	702221.0906294684	727561.6243940372	735086.2004705247	815519.425450082	873623.8168640949	413802.3242141687	753078.5862954269	909548.6271395091	887653.7162449678	818743.2673859055	619545.1755263199	524210.43079188565	148564.87192095298	689054.3783770823	177189.5408043667	169552.11889575425
ARO-PWY	770285.0759535794	837438.7311590681	795054.5555405575	663813.2722490933	638493.4329877995	728993.8269990054	915139.733356141	707745.9153484455	766218.8625478214	565073.444577487	669815.789405329	703412.220470513	617135.9559487329	573056.7539268585	725123.0915437299	783328.2363246662	728420.0164375673	822168.3418271263	588543.0057033398	990946.7766872264	575783.7169156021	518528.7462572579	805546.2899631517	669793.7511161831	848149.7728728023	592753.190738854	893381.6433525109	691484.0122763503	789298.0409537411	550209.5160609308	811906.5006916341	757748.1338483059	875034.4638882335	887518.1270848669	492269.0521725867	790212.1132328082	958947.5944020851	841481.4939716306	1048318.5724885634	948373.987846044	1051735.8355444095	874682.9749093789	618479.6010702801	921156.4806595691	845443.0844185713	633862.8265332627	1019353.6346438805	924137.8645747205	881260.2150621797	970912.650372848	882392.1820586057	856888.7697599733	930482.8322755063	654249.7694164722	658444.0469684239	692088.2737889234	791353.9569150566	778709.4934604663	821826.8650715838	425559.90145620133	750279.6539554104	895236.8692779335	859332.3055392404	806147.2730067159	710304.1292670417	519796.76315984334	160384.1282641166	643285.6722840507	181084.5338856955	167830.84422245662
ASPASN-PWY	422518.799833728	419132.4476692867	452173.59378409036	284099.82006268314	318460.2323497971	129881.5765163333	215062.4701945489	440755.93409463135	269215.63070240733	101855.85952958769	515885.87340809027	365569.74473356677	198830.2352200452	378695.77626841975	518242.36823500757	161277.67860430357	607112.1362492433	228427.6392369927	100.98903408256999	425184.7832303164	137938.68620824232	266789.9076079329	611270.3058691808	475993.3589662096	526335.6602224312	76730.75532189518	620793.1159343598	289840.99506550096	651151.0581022511	342071.21638990886	181130.99923868885	472720.22258108907	373817.869442503	68965.16639695627	285525.14402739273	612667.5066652488	479376.21416219533	551548.0054379479	136794.98839444653	921114.1620027543	381140.35330925684	406423.3035530183	381577.8157396326	152221.36701500043	223802.887057885	270520.96002348594	183752.42297564898	411716.19019319076	399429.3628982698	647.7452160303849	107603.5387799206	72523.08953417864	53788.10567914705	167347.8579936917	198960.71239844157	270112.9270830798	390241.84589744656	273679.84019901825	279014.8964351765	325230.6968657236	162888.3191067192	912393.1420462639	862664.2927471466	322490.393041712	587463.030241325	608273.1468592763	86233.04372086294	83158.60162389495	36814.8716676874	110185.33601224286
AST-PWY	22094.99542264422	18455.94368073097	12912.091792669291	9485.762120605617	12235.263899850634	0.0	13776.055360859136	0.0	14837.554030872	0.0	12965.08153884303	27619.76846766915	16870.428268568892	6992.113995300003	44877.646138698736	22195.03497500426	12841.857293962497	63087.46275840951	7.49980788624587	360.85567426641654	774.3770353356429	185129.6510323979	16060.331407433687	1307.8669960582533	54319.53853791609	8.124762371849467	166329.05453334542	9483.354613019917	22847.914177528965	5254.074879163696	0.0	842.0405766722903	1737.9562589695408	0.0	15760.039042866025	1747.3284189293795	1099.031468144318	19136.985392818366	16697.89010588066	71567.39130286372	828.8932726355564	5990.764453183906	201860.54670652194	8110.136769302034	577791.0794620523	535.0855474157161	9011.916191538194	65018.24976644681	0.0	0.0	0.0	79396.64514543084	0.0	0.0	87.48563496941185	294423.3440702822	8256.65416219757	8673.133503676985	9186.083560441963	2782.5245924970905	5081.3081185465535	17885.665670367154	20136.83215735897	9293.478260869568	4504.4788406733405	4956.521739130435	57481.35530669904	454384.3907998897	0.0	2772.7578252181115
BIOTIN-BIOSYNTHESIS-PWY	791011.8556356555	495922.7686778955	510005.63020084624	380032.33834192867	414898.8586762324	450059.0181651891	563423.3678126016	434460.69541771186	528723.8560583175	226902.2162590909	242804.62672312287	267545.6592826947	336201.9971012484	106402.21658779719	214268.68465375708	378955.79280810064	114853.67092323418	607158.855731379	452752.0936446077	666820.9283834504	524002.0520548687	377294.30018701206	196010.77549651894	189533.31932633667	581947.1972090837	511015.7519319123	589893.884950674	590089.2717909407	305370.02797249187	500169.9723176739	973687.5208243182	241314.18206680572	543890.6326760328	369204.0247306438	325211.6774638675	432704.5996230669	435268.08836220606	643343.6950851292	1031136.9730553927	137503.916223475	877081.674832454	589030.0677037277	641321.5837613045	915931.3197212394	890444.6273701725	424032.92706588417	739540.9124106418	976596.6385152338	442289.6004432971	806.9401359637977	57173.336252925845	850888.037944199	42625.424726206	772033.252617741	764063.8976496406	638490.3443675557	438501.5874596836	730975.3033752547	785989.8526730008	169222.8631042321	486643.15835508105	739570.3948722682	682172.47675151	262813.0435862282	562989.6187927614	336785.55141808104	125489.52363324692	635923.9707961621	145985.83232439	161222.52467121364
BRANCHED-CHAIN-AA-SYN-PWY	1023204.2780404171	1211257.4066328255	1160937.803993737	875837.827357766	896324.5640719817	989802.8464925515	1322084.3990551112	1014135.2314171857	1237756.9619467556	934276.8239840256	833273.9081962773	656301.3777576492	1044616.3821990774	640897.7103759217	862262.9684963337	1276937.2051023657	846179.5230016678	1008282.9051684713	677244.811531503	1258330.7069893235	744337.0265009045	729889.4907201653	1003445.7319072658	1079840.2209365368	1151955.995155726	773381.0771818393	1484938.9762056426	976955.3418501721	937176.6215953121	621200.4654442493	1366972.1184092162	1155488.8994599974	1231201.0308363375	1114300.0862621467	682415.9926021388	1292178.5233302051	1364952.8634504273	974793.34647086	1136372.1981558376	1310403.9808189347	1239803.2544695998	980309.002546232	838991.9274279819	1100718.4090949832	1348842.849947272	817007.0280353085	1039958.6573890832	1172325.7247563768	1175750.4185202576	1275319.386215039	992255.3525873328	1452187.9573910316	1329877.9600616237	954623.8285159903	1017991.3418221169	983516.8184313118	1131056.1921030825	1118902.8164780897	1134576.2984912358	456573.9783632201	1225468.4281271317	1259072.1842860105	1199501.6166141622	1102153.2251293464	775251.0262407603	700048.9960911713	184382.1504056926	935660.3717673582	257085.69519685992	211886.22994092302
CALVIN-PWY	831859.5894063134	889937.7685553121	840485.767450671	672141.4736400697	665203.038393802	763885.6354746975	959889.851171619	735862.248326124	822920.863959386	595833.6263636705	664686.1736185228	782000.5676591926	820956.1274073886	483055.64133746846	667248.8215148158	899536.188558345	755230.6767184	839722.272047872	504311.2290078356	975375.3376497888	621667.0464351793	455250.0472995515	789713.8234757204	1023378.0764309297	885239.7956489124	618275.3272204833	1008387.5728658268	734489.3167626116	899356.6457944622	626424.0093679408	966928.9185804642	846228.2495463515	937405.944787025	866863.5204978242	479728.1618069441	964103.159969919	1036548.2663784341	1150536.2333851808	1231745.5695826747	998973.2443000412	1079104.1060809493	1114855.8116864231	645926.1859214795	921245.098854598	731877.339531905	627699.4024023911	1254894.1148243812	945727.9035196006	966330.4577839165	1044766.8720180334	350957.9898275396	795523.3904001316	245389.50506014607	827573.6112008578	904933.902166943	648021.5402906422	906145.662613533	920445.4239888532	953565.2414222773	441374.61905531376	778829.0479108907	1047169.6574145192	1003569.7425240475	579617.4306778387	840932.8986057128	926311.9526348016	140594.08910881294	552891.7224780703	197593.40436597847	208359.11391188757
