pathway	site_1	site_2	site_3	site_4	site_5	site_6	site_7	site_8	site_9	site_10	site_11	site_12	site_13	site_14	site_15	site_16	site_17	site_18	site_19	site_20	site_21	site_22	site_23	site_24	site_25	site_26	site_27	site_28	site_29	site_30	site_31	site_32	site_33	site_34	site_35	site_36	site_37	site_38	site_39	site_40	site_41	site_42	site_43	site_44	site_45	site_46	site_47	site_48	site_49	site_50	site_51	site_52	site_53	site_54	site_55	site_56	site_57	site_58	site_59	site_60	site_61	site_62	site_63	site_64	site_65	site_66	site_67	site_68	site_69	site_70
1CMET2-PWY	761401.0681319197	802284.3599970276	733540.4092436227	615133.6132678924	602776.8385080252	451094.56199757446	719189.1118058526	492330.20445202757	747090.8709848346	432794.46063919505	702359.8744830437	577944.7724811571	789064.8189091424	571372.4099008209	619217.6972957392	989014.047893326	578399.5528526666	940331.1622036798	536310.2104371258	1000154.8268701101	581958.5623799141	873040.7815744698	515622.24175007734	813020.7735972661	735293.1575682315	602201.4581390531	1171655.9438981055	655264.6980079331	755997.1524776104	727295.3443842375	973567.3357241153	613085.9867939692	679090.6727612936	1075641.9405905914	396229.5814288625	620215.7262844461	566796.1237115604	774341.5865721522	928386.7222345892	340192.88941668347	893913.681304869	732755.0418018878	1104896.5345347244	916955.6697993646	928640.7402529371	686548.4497913326	846762.5967375999	1039778.5975745122	919205.5948328358	1045525.3245650317	866351.6559737584	627418.8624145126	923082.5745179304	1064314.8521027449	1086357.0950681702	727820.5429644343	827707.3304511791	824082.9872486504	840503.188480246	313307.8481966649	779046.0086534818	708381.8769398881	645975.83579067	888858.6463783033	747461.1909697592	899859.2337938346	270522.7277358846	847402.3999576365	162280.41062798526	259489.23955209999
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4865.1674031069615	3221.6814371029805	3052.9428059748843	2491.7964204700916	4972.809765778086	0.0	2609.8039386895407	0.0	6255.735040531585	0.0	8539.571191568457	12365.830769091328	12844.676450791763	5484.114868793458	5465.840480860352	17434.895010355143	5681.848089390212	5459.83258470109	296572.06358863664	1155.2388718978225	3358.451408704686	32664.767769136906	14834.022139850866	1506.068274278968	27490.78410864451	273752.1338543309	101104.16481763648	93607.08575225389	5904.235597310803	8701.154357785552	3804.9852731262836	28416.426434887017	229583.83616805958	16421.56139455041	2230.3300381037116	48758.98635756438	32968.956887704684	9161.337338969353	8623.777714727794	0.0	4369.746763077037	59968.35674954302	11587.382570578939	0.0	119.58904096796256	0.0	6974.534631167198	93996.6447640762	16183.55501644871	19.9474856139301	26459.605729651506	16747.98448926692	12154.514943886048	102.0881822085666	368.2935046570822	23971.554833135677	13955.978860291914	37514.27096848335	40593.3497503042	4864.4410889718165	128004.2062815763	35163.8550503173	35518.15680240518	0.0	10124.767040098726	0.0	3409.376939581859	139.09083119143725	23597.47464916232	0.0
ALL-CHORISMATE-PWY	20841.466638139496	26368.324546969423	49158.966551741774	14985.234879624755	27162.078922748475	0.0	17160.91445776425	0.0	50223.2065528118	0.0	52093.409861551874	41677.951225252116	27416.093425989366	71261.2688550143	99759.63425206061	34119.29078137462	112126.54150761088	44254.10253372378	0.0	0.0	0.0	50534.03219254591	116192.55489699746	42476.68293443651	34272.7269250583	0.0	0.0	49783.994827168484	207666.3574619915	60916.007439286186	0.0	57913.20830317242	182640.35489016311	100246.70017632862	24812.101486406405	66917.80216734871	46670.216724474354	536.5526105189375	5993.063094816332	0.0	4145.693052510678	36938.25776988889	2111.0565684122143	0.0	2015.9794738097335	0.0	28093.88166774127	0.0	0.0	0.0	26308.764637790086	807.6835221773347	0.0	0.0	0.0	99812.1765440758	80524.0751692742	39395.98674629632	50983.80868347401	34872.69914441475	19974.98950077873	22276.571186592173	33054.406823299716	0.0	23371.48163729126	0.0	2435.2404705398376	0.0	0.0	0.0
ANAEROFRUCAT-PWY	635316.9414921112	859693.2334278028	766374.5329530361	699011.8779406988	662364.5492806316	655780.3859733174	633847.8455170311	439602.70228091546	545202.6519653733	240636.06658899706	760091.6769970304	723721.0090641709	438706.9673693912	541193.1175196527	571468.8917424204	433767.39443395444	540070.0865616506	709497.2488536761	1439.504428321907	751269.8952549848	455714.40688948386	493099.6708356565	577434.7029736878	594084.2088467709	581112.9042825298	525617.2827456086	750185.7895885102	574289.1509010812	652217.8541255072	446369.1191621394	939759.4609924658	657367.1276395331	658336.4042621384	399506.8031764318	416751.14483417646	759128.1266589031	587796.2180117035	527477.5551530769	296043.86056003	382814.1148570114	575327.6450569255	566616.8566317137	443510.385299306	290372.42835101474	669700.3461037241	604136.7190920123	536535.3737404266	839041.9343390875	791694.9874533704	8548.37554834671	405793.77682349813	349551.74159576296	266458.2280931083	838250.7981584684	739644.6333664418	547193.6147419823	663109.1037084463	701617.1649097521	766744.3252597253	292546.59528161347	457013.48505663447	756914.3338534276	675239.7183799631	634379.6656913963	651268.3256796426	778167.7377700229	159185.14561249455	601886.6457047046	148603.92639852146	194753.00564980964
ANAGLYCOLYSIS-PWY	702149.4493015762	887439.9615214341	786282.8874653125	733697.0666574158	684649.8041902689	724600.4773895415	890563.5557649131	656255.9739038963	731488.8711043727	419516.9125287168	851123.6612555981	871666.2364122515	838652.1323041843	692876.4349852883	702944.6380150366	893273.1511960392	648985.0649977302	891716.8099965743	467483.8560379971	935857.4909811821	535715.583700256	549682.8963333048	615944.3089782292	875334.3677299726	620630.761610936	544799.9111115104	931734.278411087	617480.6550168234	853876.6625697081	558672.4268650076	963716.3519039894	699672.144892416	778632.7455014262	815601.7498721416	457301.2128756148	822978.3129838138	802715.8710961706	719810.9210944708	401223.44865387806	979663.813308067	806933.9446849937	690555.95232774	684128.2138121128	571539.196044479	957700.4866876358	672368.1118085	577019.1361980995	893348.075261165	953555.0338826865	970924.1672068746	1083230.5200412865	510912.68898706743	1111854.6750584373	877402.4994994246	919297.8605796951	718595.5661874961	781817.1621646311	758693.9443918039	784943.3588716786	416794.244290324	698954.6374753307	814546.1233800973	729774.4383878496	1043828.132835636	755530.7166655819	1000095.8169554417	168244.31409946553	795775.8430329207	182587.36505906328	231525.8629131365
ARG+POLYAMINE-SYN	289382.4133174007	275567.172256762	265954.8747957453	213882.86115324145	237554.63795211696	321485.1689628986	428607.02982577344	298930.046721801	306065.97895423236	156506.43012387925	96841.3765563708	221000.79061733262	122938.18527987918	139253.91019257746	204966.84795127966	150537.22134027912	302233.9393013019	329518.6669977318	65.92832932150725	38802.46804270835	34228.98042310459	368188.02216525096	214857.55543406258	164814.64505266526	292453.86938229017	291963.3381683567	605153.4795972345	264010.8886970995	440464.23179082957	162735.80281715075	317240.0286017191	217800.8000789946	426746.0745938751	220659.09463222304	255553.14142482035	277142.3315044266	404376.4624221481	257676.549458625	128662.72057509316	121605.16855008746	230566.2288072398	236718.88162445612	632050.7677291762	104648.78063470301	336983.06776331627	241237.7886079495	91612.2276559945	702679.7622634318	247312.3158434805	0.0	23018.76150262086	307881.0548188874	18286.68238718545	151129.57242328054	26241.26081410598	116008.78219428852	178294.8873261206	216016.8939876198	201718.7014863456	120219.46671904702	206594.79427960713	385986.2721999556	336646.30608414346	273256.9270423923	197285.7697147627	260399.18601720067	139016.41240942493	299557.62174140883	71877.56310850922	60172.67076336923
ARGORNPROST-PWY	180766.48972867188	373090.6659125244	324634.3373195575	391346.37286397966	305183.08980544313	0.0	145828.08282533207	0.0	158606.6692659214	0.0	190842.28989949726	277753.019060618	153767.3171102359	186357.196790522	280700.0391205285	173457.79389054925	112437.1543867252	260933.1313757	125.95798940693504	7901.3433053498975	33978.21229671052	595460.7449801359	235564.33713498394	133225.4344267181	173703.49809508308	1516.8238000038089	616831.2942284377	52376.16858903087	125262.53214133794	125041.27962669084	0.0	212122.05165883352	126243.97012075174	77948.1929381092	20049.73519120944	79224.2939143781	80343.67703516605	187349.02722305068	96991.09372645481	44907.22662785796	2985.583549808306	112759.63339818588	766227.7690239843	31575.878248002053	284199.4947074835	27639.010246609938	130882.29378871998	318328.60634070775	197111.47874718334	993.4007141061755	240517.182522277	243506.0282011047	21783.35913343349	1891.560793388884	2879.483280567076	172899.46527885614	145317.81290217963	41226.04499354852	54851.27138324351	57160.59492426389	28757.22338520929	77689.48991377694	84629.79139485535	247997.06243099953	87618.42651872899	159405.79160042581	166167.56789302928	318058.75010963983	0.0	13362.646560371857
ARGSYN-PWY	596581.2534762811	799934.8244171059	719281.6304544016	635100.5848092862	585315.2677828968	615736.0592269894	842161.5338383038	662630.429647732	733647.1303119826	538368.2563533008	659596.1807313376	513713.3112455409	471899.3738554711	526262.3548749001	598289.4058930456	660726.6190620204	586547.9774578727	812383.5911507709	533443.6877864767	795221.384639776	309648.8239942982	832525.0342094566	551090.4941458427	484901.24976771866	645955.6961720383	461723.99102982326	1107635.1680185632	515890.99387967185	722370.7969805357	434886.09108236595	487783.4656859099	669517.4487470452	699459.9156439042	790952.3498853345	406902.4267828442	721447.1279239646	749132.9452622953	544418.8019725275	449130.25439015654	902224.9038841721	628136.2613740839	527898.9425685104	1150277.2632152804	468895.903610437	911280.4968756154	580126.548968585	405043.7929144288	988224.3049078106	775936.6065177816	1009668.2989086084	897222.5799548232	612372.808451923	942141.0787873896	752410.8280086805	864994.7389886482	609503.0123312033	637467.2084417371	610900.4800561819	579671.1172835195	352901.3015720573	674275.7658152827	681790.526574041	633997.4276686	738278.4822505688	500475.2527662549	315730.25225914665	245365.79084312695	770113.9473054691	143041.52381083206	132044.2229605305
ARGSYNBSUB-PWY	833607.1876738247	866529.7324572663	761395.9453009107	671212.850531851	628771.1589085244	709438.3983568589	952340.4297313843	748806.2078973756	772958.207500403	553500.9732356676	676042.8621119993	548905.3977734192	375960.3292122952	555760.3161911668	630378.8613618711	588859.9452901161	610764.2385726077	734088.6152097163	599392.0345853764	1028898.8433555533	616410.1429183448	897388.1242976402	596233.814191878	401940.85341892095	727165.4965286887	676636.9122127983	1148862.4446543492	690637.8800735883	805252.5388436965	757505.0377876979	1091469.9409415289	693608.3872749355	823669.419949912	872461.9948994538	483145.4617412949	807239.2976100387	850302.462449262	782227.8646143846	1071539.4070044702	956538.7919015388	1088352.7052573077	810404.7003388284	1232094.042337451	1112799.8990040885	989440.1593057588	800349.093504358	969741.3874221877	1083516.616588875	943617.0754502357	1122041.6214803508	935119.736319328	654365.6045107233	977073.8366438654	1129393.2178709987	1115374.6693259156	729280.121973377	757035.7297032624	865865.8222999597	898532.1159280685	414666.2216378855	792913.416887948	873730.174593017	790586.6381144405	842879.5500918323	732495.7898648402	491913.5428254563	266339.9685110469	858040.7241591604	173242.1507055609	232331.48236709918
ARO-PWY	826040.4598237863	894837.8642376665	801334.2952430368	676498.0060738786	663496.6036472645	736832.3169022393	946218.8426194873	721182.459309104	793147.1239094705	565161.9365874645	732789.9221605004	580161.4241970743	628634.2716630149	591657.1996870422	626568.8480237664	794703.739689048	608632.3033345019	951753.3391378582	588547.7837886389	1000420.5031950398	615283.523722263	882184.6895324878	528859.5993211126	743793.196385079	760143.5975165663	637384.8925037681	1202590.0730527209	674551.8496191286	781846.2774560748	772602.6144276885	811906.5006916341	746701.9004677094	832025.9391471506	893073.2710593733	462149.4124224326	778496.8313083095	850224.1328990618	896992.8224326428	1093101.5525087528	970729.7265078744	1066650.9328265113	889046.1365572541	1162524.8468905762	1027643.3930488246	981148.4343153435	785207.6928945762	1044858.8662786519	1106777.0507939265	954213.9298928219	970868.0386692765	886788.6971849134	617424.9211528304	929507.1073013684	1054368.67060901	1066195.5875407571	698856.9067573596	812047.7147137001	816704.1739830868	835597.4456594905	422958.8829804002	736445.0827205881	877651.8988686875	787969.1215619888	922781.7677326011	818921.2981882825	834803.7565983441	273890.3445759998	885251.7362880515	186441.26780897615	259530.4137081408
