ec	Genus
1.2.1.12	Simplicispira
1.2.1.12	Acidovorax
1.2.1.12	Blastomonas
1.2.1.12	Achromobacter
1.2.1.12	Silanimonas
1.2.1.12	Desulfobulbus
1.2.1.12	Propionivibrio
1.2.1.12	Ruminiclostridium_1
1.2.7.3	Gelria
1.2.7.3	Acetobacterium
1.2.99.5	Desulfotomaculum
1.2.7.3	Geothrix
1.2.99.7	Desulfobulbus
1.2.99.2	Acidovorax
1.2.99.2	Geothrix
1.2.99.2	Gelria
1.2.99.2	Desulfotomaculum
1.2.99.2	Pseudorhodoferax
1.2.99.2	Methylocystis
1.2.99.2	Desulfobulbus
1.20.4.1	Silanimonas
1.2.99.5	Desulfovibrio
1.2.99.5	Gelria
1.20.4.1	Ruminiclostridium_1
1.2.7.3	Propionibacterium
1.2.7.5	Gelria
1.2.7.8	Silanimonas
1.2.7.8	Simplicispira
1.2.99.2	Smithella
1.2.7.11	Acetobacterium
1.2.7.11	Desulfotomaculum
1.2.7.11	Gelria
1.2.7.3	Propionivibrio
1.2.7.11	Propionibacterium
1.2.7.11	Smithella
1.2.1.16	Azospira
1.2.1.20	Blastomonas
1.2.1.2	Methylocystis
1.2.1.2	Azospira
1.2.1.20	Simplicispira
1.2.1.20	Dechloromonas
1.2.1.20	Desulfobulbus
1.2.1.2	Simplicispira
1.2.1.2	Propionivibrio
1.2.1.18	Caulobacter
1.2.1.2	Geothrix
1.2.1.18	Propionibacterium
1.2.1.18	Micrococcus
1.2.1.18	Methylocystis
1.2.1.18	Azospira
1.2.1.18	Pseudorhodoferax
1.2.1.2	Desulfotomaculum
1.2.1.20	Pseudorhodoferax
1.2.1.20	Propionibacterium
1.2.1.20	Methylocystis
1.2.1.20	Azospira
1.2.1.2	Pseudorhodoferax
1.2.1.20	Caulobacter
1.2.1.20	Staphylococcus
1.2.1.27	Propionivibrio
1.2.1.18	Shewanella
1.2.1.2	Gelria
1.2.1.18	Simplicispira
1.2.1.18	Dechloromonas
1.2.1.18	Pseudoxanthomonas
1.2.1.18	Propionivibrio
1.2.1.18	Blastomonas
1.2.1.18	Bacillus
1.2.1.18	Bradyrhizobium
1.2.1.18	Paracoccus
1.2.1.18	Achromobacter
1.2.1.12	Acetobacterium
1.2.1.12	Variovorax
1.2.1.12	Nitrospira
1.2.1.16	Simplicispira
1.2.1.16	Blastomonas
1.2.1.12	Smithella
1.2.1.12	Gelria
1.2.1.12	Desulfotomaculum
1.2.1.12	Phenylobacterium
1.2.1.12	Pseudoxanthomonas
1.2.1.11	Ruminiclostridium_1
1.2.7.4	Gelria
1.14.13.172	Pseudorhodoferax
1.14.13.40	Pseudorhodoferax
1.14.13.82	Achromobacter
1.14.13.82	Blastomonas
1.14.13.82	Pseudoxanthomonas
1.14.13.82	Pseudorhodoferax
1.14.13.2	Methylocystis
1.14.13.1	Simplicispira
1.14.13.1	Blastomonas
1.14.13.1	Methylocystis
1.14.13.165	Bacillus
1.14.13.165	Staphylococcus
1.14.13.1	Paracoccus
1.2.4.1	Gelria
1.2.4.2	Geothrix
1.2.4.1	Geothrix
1.2.7.1	Propionivibrio
1.2.4.1	Smithella
1.13.11.3	Pseudorhodoferax
1.13.11.5	Geothrix
1.13.11.52	Nitrospira
1.13.11.57	Pseudorhodoferax
1.13.11.2	Pseudorhodoferax
1.13.11.2	Nitrospira
1.13.11.2	Methylocystis
1.13.11.4	Pseudorhodoferax
1.14.99.50	Nitrospira
1.14.13.9	Silanimonas
1.14.19.9	Caulobacter
1.15.1.1	Ruminiclostridium_1
1.14.19.1	Azospira
1.14.19.9	Silanimonas
1.14.13.129	Blastomonas
1.14.13.129	Variovorax
1.14.13.129	Sphingopyxis
1.14.13.129	Caulobacter
1.14.13.129	Novosphingobium
1.14.13.142	Novosphingobium
1.14.13.127	Caulobacter
1.14.13.127	Blastomonas
1.14.13.127	Pseudorhodoferax
1.14.16.1	Geothrix
1.14.18.1	Caulobacter
1.14.19.1	Silanimonas
1.13.11.49	Bacillus
1.13.11.49	Geothrix
1.13.11.49	Micrococcus
1.13.11.49	Staphylococcus
1.14.15.7	Silanimonas
1.14.15.7	Variovorax
1.14.19.1	Geothrix
1.14.19.1	Pseudorhodoferax
1.14.15.7	Simplicispira
1.14.14.5	Blastomonas
1.2.7.1	Ruminiclostridium_1
1.2.1.9	Nitrospira
1.2.1.91	Paracoccus
1.2.3.3	Variovorax
1.2.1.87	Propionibacterium
1.2.1.87	Simplicispira
1.2.1.87	Acidovorax
1.2.1.87	Acetobacterium
1.3.1.10	Simplicispira
1.2.1.79	Blastomonas
1.2.1.79	Desulfobulbus
1.2.1.79	Dechloromonas
1.3.1.10	Acidovorax
1.2.1.79	Simplicispira
1.3.1.10	Dechloromonas
1.3.1.10	Silanimonas
1.3.1.10	Sphingopyxis
1.3.1.10	Caulobacter
1.3.1.106	Acetobacterium
1.3.1.106	Gelria
1.3.1.10	Smithella
1.3.1.10	Azospira
1.3.1.12	Propionivibrio
1.3.1.12	Gelria
1.3.1.12	Pseudorhodoferax
1.3.1.12	Ruminiclostridium_1
1.3.1.10	Methylocystis
1.3.1.106	Desulfotomaculum
1.3.1.12	Simplicispira
1.20.4.1	Desulfovibrio
1.3.1.12	Geothrix
1.21.98.1	Geothrix
1.20.4.1	Geothrix
1.20.4.1	Gelria
1.20.4.1	Azospira
1.20.4.1	Smithella
1.3.1.10	Pseudorhodoferax
1.21.98.1	Gelria
1.3.1.10	Propionivibrio
1.3.1.10	Achromobacter
1.3.1.10	Blastomonas
1.3.1.10	Brevundimonas
1.3.1.10	Paracoccus
1.3.1.10	Nitrospira
1.3.1.10	Desulfovibrio
1.3.1.10	Phenylobacterium
1.3.1.10	Pseudoxanthomonas
1.3.1.12	Erysipelothrix
1.3.1.10	Propionibacterium
1.2.7.11	Geothrix
1.3.1.10	Geothrix
1.2.7.1	Geothrix
1.2.7.1	Erysipelothrix
1.2.1.85	Silanimonas
1.2.1.81	Propionivibrio
1.2.1.8	Azospira
1.2.1.79	Pseudorhodoferax
1.2.1.72	Propionivibrio
1.2.1.72	Azospira
1.2.1.75	Blastomonas
1.2.1.72	Dechloromonas
1.2.1.79	Caulobacter
1.2.7.11	Desulfobulbus
1.2.7.11	Propionivibrio
1.2.1.79	Azospira
1.2.1.79	Methylocystis
1.2.1.79	Propionibacterium
1.1.1.35	Geothrix
1.1.1.35	Methylocystis
1.1.1.35	Pseudorhodoferax
1.1.1.35	Azospira
1.1.1.35	Silanimonas
1.1.1.346	Propionibacterium
1.1.1.35	Simplicispira
1.1.1.262	Smithella
1.1.1.264	Propionivibrio
1.1.1.35	Achromobacter
1.1.1.35	Blastomonas
1.1.1.303	Staphylococcus
1.1.1.31	Erysipelothrix
1.1.1.303	Paracoccus
1.1.1.312	Blastomonas
1.1.1.136	Geothrix
1.1.1.137	Streptococcus
1.1.1.14	Propionivibrio
1.1.1.14	Ruminiclostridium_1
1.1.1.125	Propionivibrio
1.1.1.133	Ruminiclostridium_1
1.1.1.130	Propionivibrio
1.1.1.304	Blastomonas
1.1.1.304	Pseudorhodoferax
1.1.1.31	Propionivibrio
1.1.1.31	Nitrospira
1.1.1.312	Pseudorhodoferax
1.1.1.336	Blastomonas
1.1.1.363	Propionibacterium
1.1.1.262	Pseudorhodoferax
1.1.1.363	Acidovorax
1.1.1.363	Silanimonas
1.1.1.363	Propionivibrio
1.1.1.363	Blastomonas
1.1.1.363	Bacillus
1.1.1.363	Bradyrhizobium
1.1.1.363	Sphingomonas
1.1.1.363	Brevundimonas
1.1.1.363	Desulfobulbus
1.1.1.363	Paracoccus
1.1.1.343	Geothrix
1.1.1.343	Shewanella
1.1.1.343	Gelria
1.1.1.343	Micrococcus
1.1.1.343	Streptococcus
1.1.1.343	Propionibacterium
1.1.1.343	Methylocystis
1.1.1.343	Erysipelothrix
1.1.1.343	Staphylococcus
1.1.1.343	Paracoccus
1.1.1.343	Nitrospira
1.1.1.343	Propionivibrio
1.1.1.363	Variovorax
1.1.1.363	Phenylobacterium
1.1.1.36	Silanimonas
1.1.1.30	Silanimonas
1.1.1.343	Desulfobulbus
1.1.1.363	Pseudoxanthomonas
1.1.1.363	Erysipelothrix
1.1.1.363	Shewanella
1.1.1.363	Gelria
1.1.1.363	Streptococcus
1.1.1.363	Simplicispira
1.1.1.363	Nitrospira
1.1.1.35	Staphylococcus
1.1.1.350	Propionivibrio
1.2.1.32	Silanimonas
1.2.1.3	Ruminiclostridium_1
1.2.1.28	Pseudorhodoferax
1.2.1.38	Ruminiclostridium_1
1.2.1.38	Gelria
1.2.1.39	Blastomonas
1.2.1.4	Blastomonas
1.2.1.39	Pseudorhodoferax
1.2.1.43	Propionivibrio
1.2.1.43	Nitrospira
1.2.1.43	Gelria
1.2.1.43	Desulfotomaculum
1.2.1.12	Azospira
1.2.1.60	Pseudorhodoferax
1.2.1.41	Ruminiclostridium_1
1.2.1.12	Pseudorhodoferax
1.2.1.12	Propionibacterium
1.2.1.4	Caulobacter
1.2.1.70	Ruminiclostridium_1
1.2.1.32	Simplicispira
1.2.1.70	Gelria
1.2.1.68	Shewanella
1.2.1.68	Novosphingobium
1.2.1.68	Phenylobacterium
1.2.1.68	Paracoccus
1.2.1.68	Blastomonas
1.2.1.68	Simplicispira
1.2.1.68	Acidovorax
1.2.1.68	Silanimonas
1.1.1.25	Geothrix
1.1.1.25	Erysipelothrix
1.1.1.26	Geothrix
1.1.1.284	Methylocystis
1.1.1.26	Blastomonas
1.1.1.261	Propionibacterium
1.1.1.267	Ruminiclostridium_1
1.1.1.264	Pseudorhodoferax
1.1.1.26	Propionivibrio
1.1.1.262	Geothrix
1.1.1.27	Bacillus
1.1.1.27	Ruminiclostridium_1
1.1.1.276	Silanimonas
1.1.1.276	Sphingopyxis
1.1.1.271	Ruminiclostridium_1
1.1.1.28	Silanimonas
1.1.1.28	Ruminiclostridium_1
1.1.1.28	Paracoccus
1.1.1.27	Gelria
1.1.1.3	Ruminiclostridium_1
1.1.1.3	Silanimonas
1.1.1.29	Ruminiclostridium_1
1.1.1.29	Dechloromonas
1.1.1.284	Silanimonas
1.1.1.28	Caulobacter
1.1.1.29	Propionivibrio
1.1.1.29	Azospira
1.1.1.298	Blastomonas
1.1.1.14	Geothrix
2.7.1.71	Ruminiclostridium_1
2.7.11.1	Geothrix
2.7.1.69	Caulobacter
2.7.1.69	Smithella
2.7.1.60	Acidovorax
2.7.1.6	Desulfovibrio
2.7.1.6	Geothrix
2.7.1.63	Propionivibrio
2.7.1.69	Simplicispira
2.7.1.69	Acidovorax
2.7.1.69	Dechloromonas
2.7.1.69	Desulfobulbus
2.7.1.69	Blastomonas
2.7.1.69	Bradyrhizobium
2.7.1.69	Brevundimonas
2.7.1.69	Variovorax
2.7.1.69	Phenylobacterium
2.7.1.69	Pseudoxanthomonas
2.7.1.69	Gelria
2.7.1.69	Desulfovibrio
2.7.1.2	Pseudomonas
2.7.1.2	Silanimonas
2.7.1.2	Ruminiclostridium_1
2.7.1.69	Ruminiclostridium_1
2.7.1.69	Propionivibrio
2.7.1.69	Silanimonas
2.7.11.1	Ruminiclostridium_1
2.7.1.69	Azospira
2.7.1.69	Methylocystis
2.7.1.50	Methylocystis
2.7.1.53	Propionivibrio
2.7.1.56	Ruminiclostridium_1
2.7.1.83	Gelria
2.7.1.56	Acetobacterium
2.7.1.49	Propionibacterium
2.7.1.5	Ruminiclostridium_1
2.7.1.50	Ruminiclostridium_1
2.7.1.6	Ruminiclostridium_1
2.7.1.56	Erysipelothrix
2.7.1.56	Streptococcus
2.7.1.58	Propionivibrio
2.7.1.58	Pseudorhodoferax
2.7.1.49	Micrococcus
2.7.1.58	Methylocystis
2.7.1.69	Pseudorhodoferax
2.7.1.49	Geothrix
2.7.1.49	Shewanella
2.7.1.39	Desulfovibrio
2.7.1.4	Ruminiclostridium_1
2.7.1.4	Propionivibrio
2.7.1.4	Dechloromonas
2.7.1.4	Desulfovibrio
2.7.1.26	Ruminiclostridium_1
2.7.1.24	Ruminiclostridium_1
2.7.1.33	Ruminiclostridium_1
2.7.1.31	Gelria
2.7.1.31	Propionivibrio
2.7.1.31	Ruminiclostridium_1
2.7.1.31	Erysipelothrix
1.17.1.8	Ruminiclostridium_1
2.7.1.25	Silanimonas
2.7.1.156	Ruminiclostridium_1
2.7.1.15	Acetobacterium
2.7.1.15	Methylocystis
2.7.1.20	Propionivibrio
2.7.1.20	Silanimonas
2.7.1.170	Geothrix
2.7.1.2	Geothrix
2.7.1.184	Pseudorhodoferax
2.7.1.182	Acetobacterium
2.7.1.20	Azospira
2.7.1.20	Pseudorhodoferax
2.7.1.2	Gelria
2.7.1.2	Pseudorhodoferax
2.7.1.2	Propionibacterium
2.7.1.20	Simplicispira
2.7.1.20	Dechloromonas
2.7.1.29	Propionivibrio
2.7.1.30	Silanimonas
2.7.1.30	Ruminiclostridium_1
2.7.1.30	Blastomonas
2.7.1.17	Propionivibrio
2.7.1.17	Ruminiclostridium_1
2.7.1.168	Geothrix
2.7.1.15	Ruminiclostridium_1
2.7.1.15	Bacillus
2.7.1.167	Smithella
2.7.1.167	Geothrix
2.7.1.17	Geothrix
2.7.1.23	Ruminiclostridium_1
2.7.1.17	Gelria
2.7.1.167	Desulfobulbus
2.7.1.156	Gelria
2.6.1.17	Ruminiclostridium_1
2.6.1.17	Silanimonas
2.6.1.17	Desulfobulbus
2.6.1.16	Ruminiclostridium_1
2.7.1.45	Propionivibrio
2.7.1.45	Ruminiclostridium_1
2.7.1.45	Blastomonas
2.7.1.45	Pseudorhodoferax
2.7.1.45	Propionibacterium
2.7.1.45	Methylocystis
2.7.1.48	Propionibacterium
2.7.1.49	Ruminiclostridium_1
2.7.1.40	Ruminiclostridium_1
2.7.1.35	Ruminiclostridium_1
2.7.1.39	Propionivibrio
2.7.1.39	Smithella
2.7.1.48	Ruminiclostridium_1
2.7.1.35	Methylocystis
2.7.1.4	Pseudorhodoferax
2.7.1.4	Methylocystis
2.7.1.4	Azospira
1.18.1.2	Gelria
1.17.99.6	Geothrix
1.17.99.6	Gelria
1.2.1.10	Erysipelothrix
1.15.1.2	Gelria
1.16.3.1	Simplicispira
1.16.3.1	Dechloromonas
1.16.3.2	Propionibacterium
1.15.1.2	Ruminiclostridium_1
1.16.3.1	Pseudorhodoferax
1.17.1.2	Bradyrhizobium
1.17.1.2	Azospira
1.17.1.2	Brevundimonas
1.17.1.2	Paracoccus
1.17.1.1	Simplicispira
1.17.1.1	Dechloromonas
1.17.1.1	Propionivibrio
1.17.1.1	Achromobacter
1.17.1.1	Pseudorhodoferax
1.17.1.1	Azospira
1.17.1.2	Simplicispira
1.17.1.2	Acidovorax
1.17.1.2	Dechloromonas
1.17.1.2	Desulfobulbus
1.17.1.2	Silanimonas
1.17.1.2	Ruminiclostridium_1
1.17.1.1	Nitrospira
1.17.1.2	Blastomonas
1.17.1.2	Variovorax
1.17.1.2	Nitrospira
1.17.1.2	Desulfovibrio
1.17.1.2	Phenylobacterium
1.17.1.2	Pseudoxanthomonas
1.17.1.2	Erysipelothrix
1.17.1.2	Geothrix
1.17.1.2	Achromobacter
1.17.1.2	Acetobacterium
1.17.1.2	Gelria
1.17.1.2	Micrococcus
1.17.1.2	Desulfotomaculum
1.17.1.2	Pseudorhodoferax
1.17.1.2	Methylocystis
1.17.1.2	Shewanella
1.16.3.1	Geothrix
1.17.1.2	Propionivibrio
1.17.1.2	Caulobacter
1.17.1.2	Sphingopyxis
1.17.1.2	Smithella
1.16.3.1	Propionivibrio
1.18.1.2	Ruminiclostridium_1
1.18.1.1	Propionivibrio
1.14.12.17	Blastomonas
1.14.11.33	Azospira
1.14.11.47	Simplicispira
1.14.11.47	Silanimonas
1.14.11.47	Blastomonas
1.14.11.47	Pseudorhodoferax
1.13.12.16	Propionivibrio
1.13.12.16	Simplicispira
1.13.12.16	Dechloromonas
1.13.12.16	Silanimonas
