,protein_name
0,"1,4-alpha-glucan branching enzyme GlgB -glucan enzyme)"
1,1--5-[methylideneamino] imidazole-4-carboxamide isomerase
2,1-acyl-sn-glycerol-3-phosphate acyltransferase
3,1-deoxy-D-xylulose 5-phosphate reductoisomerase
4,16S rRNA -C)-methyltransferase -)-methyltransferase RsmB)
5,16S rRNA -N)-methyltransferase RsmD
6,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
7,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
8,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
9,2-dehydropantoate 2-reductase
10,2-enoate reductase FldZ
11,2-iminoacetate synthase
12,2-isopropylmalate synthase
13,23S rRNA )-methyltransferase RlmCD
14,3-dehydroquinate dehydratase
15,3-dehydroquinate synthase
16,3-hydroxyacyl-ACP dehydratase FabZ
17,3-isopropylmalate dehydratase large subunit
18,3-isopropylmalate dehydrogenase
19,3-methyl-2-oxobutanoate hydroxymethyltransferase
20,3-oxoacyl-[acyl-carrier-protein] reductase
21,3-oxoacyl-[acyl-carrier-protein] synthase 2
22,3-phosphoshikimate 1-carboxyvinyltransferase
23,4-alpha-glucanotransferase
24,4-aminobutyrate aminotransferase
25,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase -2-C-methyl-D-erythritol kinase)
26,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase -butenyl 4-diphosphate synthase)
27,4-hydroxy-tetrahydrodipicolinate reductase
28,4-hydroxy-tetrahydrodipicolinate synthase
29,4-hydroxythreonine-4-phosphate dehydrogenase 2
30,5'-nucleotidase
31,5-formyltetrahydrofolate cyclo-ligase
32,5-methyltetrahydrofolate:corrinoid/iron-sulfur protein co-methyltransferase
33,"6,7-dimethyl-8-ribityllumazine synthase"
34,ADP-ribose pyrophosphatase
35,ATP phosphoribosyltransferase
36,ATP-dependent 6-phosphofructokinase
37,ATP-dependent Clp protease proteolytic subunit
38,ATP-dependent DNA helicase RecG
39,ATP-dependent protease subunit HslV
40,Acetate CoA-transferase subunit alpha
41,Acetate kinase
42,Acetolactate synthase small subunit
43,Acetyl-CoA carboxylase biotin subunit
44,Acetylglutamate kinase
45,Acetylornithine aminotransferase
46,Aconitate hydratase
47,Adenine deaminase
48,Adenine phosphoribosyltransferase
49,Adenosylcobinamide kinase
50,Adenosylcobinamide-GDP ribazoletransferase
51,Adenylate kinase
52,Adenylosuccinate lyase
53,Adenylosuccinate synthetase
54,Agmatinase
55,Alanine dehydrogenase
56,Alanine racemase
57,Alanine--tRNA ligase
58,Alcohol dehydrogenase 2
59,Aldehyde oxidoreductase
60,Alkaline phosphatase 4
61,"Alpha-1,4 glucan phosphorylase"
62,Alpha-acetolactate decarboxylase
63,Alpha-ribazole phosphatase
64,Amidophosphoribosyltransferase
65,Aminodeoxychorismate lyase PabC1
66,Aminomethyltransferase
67,Anaerobic glycerol-3-phosphate dehydrogenase subunit A
68,Anaerobic ribonucleoside-triphosphate reductase
69,Anthranilate phosphoribosyltransferase
70,Anthranilate synthase component 1
