Genera,Frequency
Azospira,61
Brachybacterium,16
Brevibacterium,14
Bulleidia,7
Clostridium,23
Corynebacterium,31
Enterococcus,15
Gelria,15
Halomonas,28
Legionella,35
Mycobacterium,27
Mycoplana,18
Neisseria,23
Novosphingobium,60
Oerskovia,6
Opitutus,8
Oxobacter,11
Paracoccus,46
Phenylobacterium,40
Porphyrobacter,18
Prevotella,19
Pseudarthrobacter,4
Pseudoalteromonas,19
Streptococcus,50
Tepidimonas,17
Thiobacillus,28
Acetobacterium,39
Achromobacter,38
Acidisoma,3
Acidovorax,65
Aestuariimicrobium,8
Afipia,22
Anoxybacillus,11
Bacillus,36
Beta_proteobacterium,5
Blastomonas,44
Bradyrhizobium,57
Brevundimonas,50
Candidatus_desulforudis,1
Caulobacter,38
Chryseobacterium,22
Cutibacterium,3
Dechloromonas,54
Desulfomicrobium,23
Desulfosporosinus,38
Desulfotomaculum,45
Desulfovibrio,48
Enhydrobacter,25
Erysipelothrix,30
Geothrix,38
Herbaspirillum,12
Hydrogenophaga,42
Methylocystis,23
Micrococcus,46
Nitrospira,33
Phreatobacter,18
Propionibacterium,57
Propionivibrio,45
Pseudomonas,58
Pseudorhodoferax,29
Pseudoxanthomonas,29
Ralstonia,30
Sediminibacterium,50
Silanimonas,20
Simplicispira,29
Smithella,25
Sphingobium,54
Sphingomonas,61
Sphingopyxis,40
Staphylococcus,50
Syntrophus,28
Tessaracoccus,24
Thermincola,4
Treponema,17
Variovorax,39
Desulfobacterium,1
Desulfobulbus,22
Gallionella,18
Shewanella,19
