GID,Input_Genus,Input_Family,Input_Order,Greengenes_OTU,Greengenes_Taxonomy,Match_Score,Match_Type
110,Azospira,Rhodocyclaceae,Rhodocyclales,690515,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Azospira; s__,1.0,exact_genus
140,Brachybacterium,Dermabacteraceae,Actinomycetales,519902,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Brachybacterium; s__,1.0,exact_genus
145,Brevibacterium,Brevibacteriaceae,Actinomycetales,1134896,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; s__,1.0,exact_genus
154,Bulleidia,Erysipelotrichaceae,Erysipelotrichales,336037,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia; s__,1.0,exact_genus
214,Clostridium,Clostridiaceae,Clostridiales,1124194,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__,1.0,exact_genus
229,Corynebacterium,Corynebacteriaceae,Actinomycetales,1042616,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,1.0,exact_genus
300,Enterococcus,Enterococcaceae,Lactobacillales,543824,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__,1.0,exact_genus
354,Halomonas,Halomonadaceae,Oceanospirillales,716727,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__,1.0,exact_genus
408,Legionella,Legionellaceae,Legionellales,838066,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__,1.0,exact_genus
470,Mycobacterium,Mycobacteriaceae,Actinomycetales,2651333,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__,1.0,exact_genus
471,Mycoplana,Caulobacteraceae,Caulobacterales,1125570,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__,1.0,exact_genus
474,Neisseria,Neisseriaceae,Neisseriales,355750,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__,1.0,exact_genus
491,Novosphingobium,Sphingomonadaceae,Sphingomonadales,89388,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__,1.0,exact_genus
497,Oerskovia,Cellulomonadaceae,Actinomycetales,4320905,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Oerskovia; s__,1.0,exact_genus
503,Opitutus,Opitutaceae,Opitutales,4379512,k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__,1.0,exact_genus
512,Oxobacter,Clostridiaceae,Clostridiales,586332,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Oxobacter; s__,1.0,exact_genus
526,Paracoccus,Rhodobacteraceae,Rhodobacterales,370584,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__,1.0,exact_genus
549,Phenylobacterium,Caulobacteraceae,Caulobacterales,4328978,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__,1.0,exact_genus
566,Prevotella,Prevotellaceae,Bacteroidales,4449524,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__,1.0,exact_genus
581,Psb-m-3,Erysipelotrichaceae,Erysipelotrichales,4326986,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__PSB-M-3; s__,1.0,exact_genus
584,Pseudoalteromonas,Pseudoalteromonadaceae,Vibrionales,562023,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__,1.0,exact_genus
687,Streptococcus,Streptococcaceae,Lactobacillales,523025,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,1.0,exact_genus
712,Tepidimonas,Comamonadaceae,Burkholderiales,546567,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Tepidimonas; s__,1.0,exact_genus
727,Thiobacillus,Hydrogenophilaceae,Hydrogenophilales,147946,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Hydrogenophilales; f__Hydrogenophilaceae; g__Thiobacillus; s__,1.0,exact_genus
6,Acetobacterium,Eubacteriaceae,Clostridiales,4366937,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Acetobacterium; s__,1.0,exact_genus
7,Achromobacter,Alcaligenaceae,Burkholderiales,220314,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__,1.0,exact_genus
13,Acidisoma,Acetobacteraceae,Rhodospirillales,581747,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acidisoma; s__,1.0,exact_genus
17,Acidovorax,Comamonadaceae,Burkholderiales,141042,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__,1.0,exact_genus
30,Afipia,Bradyrhizobiaceae,Rhizobiales,313427,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Afipia; s__,1.0,exact_genus
89,Anoxybacillus,Bacillaceae,Bacillales,4439125,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__,1.0,exact_genus
113,Bacillus,Bacillaceae,Bacillales,239470,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__,1.0,exact_genus
136,Blastomonas,Sphingomonadaceae,Sphingomonadales,2251859,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Blastomonas; s__,1.0,exact_genus
143,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,259272,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__,1.0,exact_genus
146,Brevundimonas,Caulobacteraceae,Caulobacterales,329940,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__,1.0,exact_genus
198,Caulobacter,Caulobacteraceae,Caulobacterales,866365,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter; s__,1.0,exact_genus
206,Chryseobacterium,Weeksellaceae,Flavobacteriales,219549,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__,0.6666666666666666,exact_genus
