Jointax,Kingdom,Phylum,Class,Order,Family,Genus,GID,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18,site_19,site_20,site_21,site_22,site_23,site_24,site_25,site_26,site_27,site_28,site_29,site_30,site_31,site_32,site_33,site_34,site_35,site_36,site_37,site_38,site_39,site_40,site_41,site_42,site_43,site_44,site_45,site_46,site_47,site_48,site_49,site_50,site_51,site_52,site_53,site_54,site_55,site_56,site_57,site_58,site_59,site_60,site_61,site_62,site_63,site_64,site_65,site_66,site_67,site_68,site_69,site_70,Source,IDs
Rhodocyclales_Rhodocyclaceae_Azospira,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,110,26.92804825506247,1.859229747675963,3.093542843113184,2.573991229036737,2.709368672924719,0,2.14623499454347,0.54,3.903179707038228,0,0.1023279611153748,3.245378498399257,0.5160778086542279,0.1007895178901394,0.07216395650918889,0.9942834807250697,0.3176283748014823,2.252422297722411,0,32.25946258306848,36.44453233142179,0.1172691582113904,0.08991276032174188,1.037941994437823,5.197792088316467,0.04882425905887942,0.004867285352715945,0.4851899675235747,2.034158510842449,4.393436743477092,0,0.009877518767285657,0.02708559046587215,0,0.07236413633403285,0.1353424163132726,0.03098701807032422,7.04647676161919,49.59523723091444,0,47.38717785197134,7.685846283074338,2.995664170279858,60.3,0.01482339940975919,0.5733994395343823,21.54846664810469,2.922169148637257,4.74,0,0.02364410170601288,0.003981589131854306,0,2.320610687022901,8.222547890714958,12.5592695967986,6.430223592906708,0.6532180595581172,0.5920891286830396,1.562333179116695,0.3532911863146151,0.5713039686000873,0.624133148404993,0.26,4.518236254763201,0.4,0.004885675200312683,0,1.47,1.72,chk-core,"['2815233668', '2815233665', '2815233662', '2815233651', '1389021943', '2505744391', '2526389688', '2526389684', '2526389243', '1994269713', '1994269711', '1994269710', '1994269708', '1994269707', '1994269705', '1994269704', '1994269703', '1994269702', '1994269701', '1994269700', '1994269699', '1994269698', '1994269697', '1994269696', '1994269695', '1994269694', '2311270806', '2311270805', '2419135266', '2363086552', '2243219649', '2235347124', '2235347120', '2235347073', '2237838594', '2202692881', '2202692880', '2202692879', '2202692878', '2202692877', '2202692875', '2202692873', '2202692872', '2202692871', '2202692867', '2202692866', '2202692865', '2202692861', '2202692860', '2202692859', '2202692858', '2202692856', '2201045907', '2179529893', '1929559055', '1934351085', '1893036442', '1846318031', '1779613657', '1477051469', '965684366', '965684364', '965684333', '1725042780', '1565165981', '1405129945', '1404956979', '1404935999', '343198916', '470466077', '219857224', '1532278331', '1464479068', '1464479063', '1442633783', '1442633782', '1435888428', '1435888415', '1405111494', '1405111492', '1405111489', '1405111484', '1405111441', '1405111436', '1405111431', '1405111386', '1405111381', '1405111378', '1405111321', '1405111316', '1405111312', '1405111308', '1405111258', '1405111254', '1405111249', '1405111247', '1405111209', '1405111206', '1405111202', '1405111198']"
Actinomycetales_Dermabacteraceae_Brachybacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,140,0,0,0,0,0,0,0,0,0,0,0,0.02581844469689146,0.03969829297340214,0.520745842432387,0.0577311652073511,0.06595983778765818,0,0,0,0,0,0.03314128384234946,0.06561201428883867,0.004966229638458482,0,0,0,0,0.268662444828248,0.008966197435667534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01193269957440038,0,0,0,0.003637554108617366,0,0,0,0,0,0.01542020046260601,0,0,0.005338268265774583,0,0,0,0,0.05443658138268917,0,0,0.02117186259461176,0,0,chk,"['2159029981', '2872450823', '2815198619', '2503025500', '2869630834', '2623890562', '2867896388', '2867896358', '2867861121', '2864359495', '1198996174', '1198996173', '1198996170', '1198996167', '1198996162', '1198996161', '1198996159', '1198996154', '1198996152', '1198996147', '1198996146', '1198996143', '1198996136', '1198996132', '1198996130', '1198996126', '1198996119', '1198996111', '1198996077', '1198996073', '1198996061', '1198996058', '2862974118', '2862745286', '2862745283', '2862745280', '2862745277', '2862745275', '2862745272', '2862745269', '2860119390', '1769873395', '1769873394', '1918391380', '1918391379', '1918391378', '1918391377', '1918391376', '1918391373', '1918391372', '1918391370', '1918391369', '1918391368', '1918391367', '1918391366', '1918391365', '1918391364', '1918391363', '1918391362', '1918391361', '1918391360', '1918391359', '1918391358', '1918391357', '1918391356', '1918391355', '1918391354', '1918391353', '1918391352', '2854250464', '2854250461', '2851354533', '2850868970', '2846204602', '2846204601', '2846204600', '2846204599', '2846204598', '2846204597', '2846204596', '2846204595', '2846204593', '2846204592', '2846204590', '2846204589', '2846204587', '2846204586', '2302714537', '2302714534', '2302714531', '2302714528', '2302714525', '2302570067', '2302570064', '2302570062', '2302570059', '2302570058', '2302570052', '2302570050', '2302570048']"
Actinomycetales_Brevibacteriaceae_Brevibacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,145,0,0,0,0,0,0,0,0,0,0,0,0.03872766704533719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09595087315294569,0.05828028333183897,0,0,0,0,0,0,0,0.00642535874919683,0.1113248871625464,0,0,0.04199916001679967,0.01970831690973591,0,0,0,0.4733304164512151,0.01404889013767912,0,0,0.001818777054308683,0,0,0,0,0.1446010021185728,0.01542020046260601,0,0,0.02135307306309833,0,0,0,0,0.2177463255307567,0,0,0,0,0,chk,"['2874253588', '2874246676', '2873344496', '2604899977', '2604899975', '2604899973', '2604899972', '2604899970', '2604899968', '2500947781', '2873257619', '2815149174', '1912827399', '1718135921', '1610878674', '1434615380', '1245900254', '1011331722', '425736724', '2871849091', '2870749877', '2870379572', '2866351986', '1948486911', '1948486910', '1948486908', '1948483350', '1948483348', '1801303201', '1801303200', '1801303199', '1801303198', '1801303197', '1801303195', '1801303194', '1801303193', '1801303192', '1801303191', '1801303190', '1801303189', '1801303188', '1801303187', '1801303186', '1801303185', '1801303184', '1801303183', '2864153917', '2862815292', '2862557436', '1610878730', '1610878721', '1610878720', '1610878718', '1610878715', '1610878709', '1610878707', '1610878704', '1610878701', '1610878693', '1610878690', '1610878688', '1610878683', '1610878681', '1610878679', '1610878676', '1610878671', '1610878668', '1610878667', '1610878664', '1610878662', '1610878660', '1610878657', '1610878654', '1610878651', '1610878649', '1610878646', '1610878643', '1610878293', '1610878290', '1610878288', '1610878286', '1610878283', '1610878279', '2862765053', '2862765052', '2862765051', '2862765050', '2862765049', '2862765048', '2862765047', '2862765046', '2862765045', '2862765044', '2862765042', '2862765041', '2862765040', '2862765038', '2862765037', '2862748189', '2862748188']"
Erysipelotrichales_Erysipelotrichaceae_Bulleidia,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,154,0,0,0,0,0,0,0,0,0,0,0.2814018930672806,0,0.01984914648670107,0.01679825298168991,0.01443279130183778,0.007328870865295353,0,0,0,0,0,0.01529597715800744,0.02673082063619353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chk,"['283769288', '283769285', '283768955', '283768953', '2087654489', '2087654488', '2087654487', '2087654486', '2087654485', '2087654484', '2005939052', '2005939051', '2005939050', '2005939049', '2510073622', '1969818325', '1802790826', '265678470', '1139291317', '1139290654', '1139290177', '1139289755', '1139289549', '1139289501', '1139289291', '1139289279', '1139288861', '1139288623', '1139284214', '1139284208', '1139284186', '1139283180', '1139282973', '1139282696', '1139282577', '1139282544', '1139282424', '1139282380', '1139282179', '1139282141', '1139281948', '1139281937', '1139281913', '1139281668', '1139280404', '1139278885', '1139278783', '1139278558', '1139278539', '1139278538', '1139277749', '1139275276', '1139275267', '1139274475', '1139274454', '1139273830', '1139273812', '1139273731', '1139273716', '1139273144', '1139273135', '1139273127', '1139273121', '1139273117', '1139273095', '1139273078', '1139271964', '1139271645', '1139271606', '1139271165', '1139270324', '1139270260', '1139270121', '1139269973', '1139269581', '1139269264', '1139269255', '1139268914', '1139268759', '1139268717', '1139268455', '1139267195', '1139267182', '1139266477', '1139265152', '1139265147', '1139264356', '42821419', '162849137', '162846290', '334903707', '341657721', '341657657', '253683857', '7637526', '60501378', '551082']"
Clostridiales_Clostridiaceae_Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,214,0,0,0,0,0,0,0,0,0,0,0.920951650038373,0.3020758029536301,0.6947201270345376,13.50579539727868,3.651496199364957,0.9429813846680022,1.058761249338274,0,0,0,0,1.371539285168001,3.251439819202449,0.009932459276916964,0,0,0,0,0.1151410477835348,0.192773244866852,0,0,0,0,0,0,0,0.5632897836795887,0.07744339976524969,0,0,4.262914741705166,0.04927079227433977,4.41,0,0,0.09745037985760312,0.1264400112391121,5.7,0,0,0,0,0,0,0,0.06168080185042405,0,0,0.1334567066443646,0,0,0,0,0.5443658138268916,0,0,0,0,0,chk-core-us,"['2644094938', '2644094937', '2644094936', '2644094934', '2644094933', '2644094932', '2644094931', '2644094930', '2644094929', '2644056271', '2644056270', '2644056269', '2644056268', '2644056266', '2644056265', '2644056264', '2644056263', '2644056262', '2644056261', '2644056259', '2644016985', '2644016980', '2644016978', '2644016975', '2644016971', '2644016970', '2644016968', '2644016967', '2644016964', '2644016962', '2644016958', '2644016956', '2644016954', '2644016951', '2644016948', '2644016946', '2335604082', '2335604071', '2335604065', '2335604060', '2335604057', '2335604055', '2335604050', '2335604041', '2335604038', '2335604036', '2335604031', '2335604028', '2335604016', '2335604013', '2335604010', '2335604004', '2335604002', '2335603986', '2335603974', '2335603972', '2335603966', '2335603934', '2335603932', '2335603928', '2335598621', '2335598615', '2335598610', '2335598607', '2335598569', '2335598561', '2335598558', '2335598555', '2335598552', '2335598538', '2335598534', '2335598528', '2335598522', '2335598519', '2335598507', '2335598500', '2335598496', '2335598493', '2335598490', '2335598486', '2335598482', '2335598479', '2335598476', '2335598473', '2335598469', '2335598465', '2335598460', '2335587969', '2335587962', '2335587959', '2335587956', '2335587953', '2335587943', '2335587940', '2335587936', '2335587933', '2335587930', '2335587928', '2335587924', '2335587921']"
Actinomycetales_Corynebacteriaceae_Corynebacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,229,0,0,0,0,0.00184060371801951,0,0,0,0,0,11.97237145049885,0.1394196013632139,0.8535132989281461,4.905089870653452,2.732608486481285,0.9258806859823131,0.9528851244044468,0,0.002897899747158247,0,0,0.8999133227961047,2.605039974727224,0.124155740961462,0.002874885004599816,0,0,0,0.5757052389176741,0.1748408499955169,0,0.0691426313709996,0,0.55,0,0,0,0.04926108374384236,0.1899783400491282,0,0,1.007979840403192,0.1675206937327552,0,0,0,1.25293345531204,0.01404889013767912,0,0,0,0,0,0.005725190839694656,0.003489305279318887,0.01849547701516629,0.2158828064764842,0,0.04204183162246435,0.5195914445353927,0,0.00436109899694723,0,0,0.2721829069134458,0,0,0,0,0,chk-core-us,"['2875870155', '2875870153', '2875870152', '2875870151', '2875870149', '2875870148', '2875870146', '2875870143', '2875870142', '2875870140', '2358697805', '2335593662', '2335593651', '2335593648', '2335593645', '2335593643', '2335593639', '2335593636', '2335593632', '2335593627', '2335593624', '2335593621', '2319413848', '2873669769', '2873669767', '2873669766', '2873669763', '2873669761', '2873669760', '2832629910', '2832625809', '2832625787', '2831102735', '2792988573', '2745068242', '2745007093', '2744978433', '2725847720', '2720676747', '2555920725', '2519215965', '2519138068', '2519112807', '2519109939', '2519104493', '2519103913', '2519082849', '2519082835', '2519074806', '2519057972', '2295018007', '2283873550', '2282778404', '2197370869', '1956614610', '1942915814', '1941053364', '1941052886', '1941048907', '1941047559', '1941044545', '1918286957', '1885026473', '1885025562', '1778527623', '1741709713', '1718412961', '1533949023', '1533947996', '1533935641', '1533935604', '1533934879', '1533921560', '1140925534', '1119654690', '1102029597', '1102029578', '333981459', '1950283241', '2872958334', '2872958331', '2872958143', '2872958141', '2872958139', '2872958137', '2872956914', '2872956911', '2872956907', '2872956899', '2872946250', '2872946247', '2872946241', '2872945432', '2872945427', '2872945423', '2872945418', '2872942521', '2872942516', '2872942513', '2872942510']"
Lactobacillales_Enterococcaceae_Enterococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,300,0,0,0,0,0,0,0,0,0.002977253781112302,0,0.0255819902788437,0.002581844469689146,0.03969829297340214,0.3023685536704183,0.0192437217357837,0.004885913910196903,0.1058761249338274,0,0,0,0,0.02039463621067659,0.1239338047678064,0,0,0,0,0.003912822318738506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02099958000839983,0,0,0,0,0.001988783262400064,0,0,0,0,0,0,0,0,0,0,0,0,0.001779422755258194,0,0.00436109899694723,0,0,0,0,0,0,0,0,chk,"['2876031399', '2876031397', '2874246379', '2874246378', '2641715107', '2641715106', '2641715104', '2641715103', '2641715101', '2641715100', '2641715099', '2641715098', '2641715097', '2641715096', '2641715095', '2641715094', '2641715093', '2641715087', '2641715086', '2641715081', '2641715080', '2641715079', '2641715078', '2641715077', '2641715076', '2641715075', '2641715074', '2641715073', '2641715072', '2641715070', '2641715069', '2641715068', '2641715067', '2641715066', '2641715065', '2641715064', '2641715063', '2641715062', '2641715060', '2641715059', '2641715058', '2641715056', '2641715055', '2641715054', '2641715052', '2641715051', '2641715049', '2641715047', '2641715046', '2641715045', '2641715044', '2641715043', '2641715042', '2641715041', '2641715040', '2641715039', '2641715038', '2641715037', '2641715036', '2641715035', '2641715034', '2641715033', '2641715031', '2641715030', '2641715029', '2641715028', '2641715027', '2641715026', '2641710526', '2641710522', '2641710519', '2641710518', '2641710517', '2641710516', '2641710515', '2641710514', '2641710513', '2641710512', '2641710511', '2641710510', '2641710509', '2641710507', '2641710504', '2641710503', '2641710502', '2641710501', '2641710500', '2641710499', '2641710498', '2641710496', '2641710495', '2641710494', '2641710493', '2641710492', '2641710491', '2641710490', '2641710489', '2641710488', '2641710487', '2641710486']"
Thermoanaerobacterales_Thermoanaerobacteraceae_Gelria,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Gelria,334,0.0215424386040499,0,0,0.002203759613901316,0.003681207436039021,0,0.01455074572571844,0,0,0,0,0,0,0,0,0,0,0.01258336479174531,0,0,0,0,0,0.009932459276916964,0.0718721251149954,0,0,1.737293109519897,0,0,0,0,0,0,0,0.03007609251406057,0.001630895687911801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03842459173871278,0.1086080650246996,0,0,0.04797208896641954,0.02311604253351826,0,0,0,0,0,0,2.3,chk,"['1942498386', '14276843', '343201113', '1253240391', '1253240370', '261347408', '261347396', '582532420', '582532418', '428186826', '357002508', '357002507', '357002506', '56390602', '310499429']"
Oceanospirillales_Halomonadaceae_Halomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,354,0,0,0.02455192732629511,0,0,0,0.00242512428761974,0,0.02084077646778611,0,0.05116398055768739,0.01807291128782402,0.01984914648670107,0,0.3127104782064851,0.02198661259588606,0,0.01258336479174531,0.0002414916455965206,0,0,0.0101973181053383,0.002430074603290321,0,0,0,5.105782334999027,0,0.01919017463058914,0.0134492961535013,0,0,0,0,0.7453506042405385,0,0,0,0.003630159363996079,5.506709039548022,0.03376223881156919,0.02099958000839983,0.009854158454867954,0,46.86619860660046,0.01724509592584609,0.07955133049600255,0,0,0,0,0,0,0,0,22.05837845108787,0,0,0,0.003558845510516389,0,0,0,0,0,0,0.9429353136603478,28.88900651034775,0,0,chk-core,"['2624778934', '2511964987', '2088342603', '2088342602', '2088342601', '2088342600', '2088342599', '2088342598', '2088342597', '2088342595', '2088342594', '2088342593', '2088342592', '2088342590', '2088339500', '2088339499', '2088339498', '2088339491', '2088339489', '2088339487', '2088339484', '2088339483', '2088339479', '2088332707', '2088332706', '2088332705', '2088332704', '2088332703', '2088332702', '2088332701', '2088332700', '2088332699', '2088332698', '2088332697', '2088332696', '2088332695', '2088332694', '2088332693', '2088332692', '2088332691', '2088332686', '2088331133', '2088331131', '2088331130', '2088331129', '2088331128', '2088331127', '2088331126', '2088331125', '2088331123', '2088331122', '2088331121', '2088331120', '2088331119', '2088331118', '2088331117', '2088331116', '2088331115', '2088215962', '2088215961', '2088215960', '2088215959', '2088215958', '2088215957', '2088215950', '2088183560', '2088183558', '2088183555', '2088183522', '2088183519', '2088183435', '2087753648', '2087753647', '2087753646', '2087753645', '2087753644', '2087753643', '2087753642', '2087753641', '2087753640', '2087753639', '2087753638', '2087753637', '2087753636', '2087753635', '2087753633', '2087753632', '2087753631', '2087753627', '2087670241', '2087670240', '2087670239', '2087670238', '2087670237', '2087670234', '2087670230', '2872758294', '2872758291', '2872758290', '339002290']"
Legionellales_Legionellaceae_Legionella,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,408,0,0,0,0.004407519227802631,0.007362414872078041,0,0,0.72,0.05061331427890913,2.48,0.2046559222307496,0.07487348962098524,3.156014291385471,0.167982529816899,0.3127104782064851,3.466555919284702,0.2646903123345686,0,0,0,0.0102827763496144,0.4333860194768776,0.3596510412869675,0,0.02587396504139834,0,0,0.03521540086864655,0.268662444828248,0.1703577512776831,0,0.03951007506914263,0.02708559046587215,0,0,0.05112935727390297,0.02772522669450062,0.01285071749839366,0.1064846746772183,0,0,0.1679966400671987,0.009854158454867954,0,0,0,0.09745037985760312,0.01404889013767912,0,0,0,0,0,0,0,0,0.3392444101773323,0,0.03503485968538696,1.434214740738105,0.502045370026032,0.02180549498473616,0,0,0,0,0,0.06880855343248822,0,0,chk,"['2874356540', '2874356539', '2874356538', '2874356537', '2874356536', '2874356534', '1593604489', '1593604487', '1593604486', '1593604485', '1593604484', '1593604483', '2874347440', '2831109161', '2417920214', '2209075447', '1632365365', '1632340453', '1632333423', '1632324653', '1593592155', '1593589810', '1590809156', '1575380108', '1069457534', '1031425620', '1011933798', '1006119336', '1006061774', '1005596729', '756858130', '2330963263', '2330960979', '2330960978', '2330960976', '2330960975', '2330959899', '2330943638', '2330943636', '2870378470', '2870378468', '2870378467', '2870378466', '2870378405', '2870378403', '2870378401', '2870378400', '2870378399', '2870378200', '2870378195', '2870378193', '2870378192', '2870378190', '2870378186', '2870378184', '2870378002', '2870378001', '2870377999', '2870377998', '2870377997', '2870377996', '2870377941', '2870377940', '2870377939', '2870377938', '2870377937', '2870377120', '2870377115', '2870377113', '2870377111', '2870377109', '2870376932', '2870376929', '2870376928', '2870376926', '2870376690', '2870376688', '2870376686', '2870376684', '2870376683', '2870376680', '2870376539', '2870376538', '2870376537', '2870376536', '2870376535', '2870376534', '2870376532', '2870376531', '2870376239', '2870376238', '2870376237', '2870376236', '2870376232', '2870376231', '2870376230', '2870376229', '2870376228', '2870376227', '2870376225']"
