Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_2,site_3,site_4,site_5,site_17,site_18,site_21,site_24,site_26,site_28,site_35,site_57,site_58,site_59,site_60,site_69,site_70,Influence
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,17,1.4798,3.7196,3.1293,1.8903,0.2118,3.0578,0.4113,1.9567,0.004,1.7764,0.0434,1.4495,2.7858,1.8884,0.1014,1.36,1.16,17
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,110,1.8592,3.0935,2.574,2.7094,0.3176,2.2524,36.4445,1.0379,0.0488,0.4852,0.0724,6.4302,0.6532,0.5921,1.5623,1.47,1.72,17
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,587,3.4718,2.0624,1.4633,2.4075,2.2763,13.7662,0.1266,0.2135,0.0013,1.5377,0.0145,1.0948,1.4025,1.4995,0.2491,0.0,0.46,16
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,491,0.0759,0.221,0.0397,0.0939,0.847,0.3649,0.8068,0.1192,0.987,1.1934,2.9525,1.4958,3.3622,2.2562,1.4698,0.0,3.2,16
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,270,0.2277,1.9642,0.3173,0.3626,22.234,1.5729,0.3022,13.0562,0.0026,3.7133,0.0,0.5089,3.4966,3.7662,1.1851,0.0,1.55,15
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,146,0.8537,1.0312,0.1168,0.2301,0.2118,0.7928,0.492,0.7747,2.9743,9.8447,0.2388,0.1079,8.5879,6.9754,0.0801,0.0,0.0,15
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,143,17.6817,16.5603,6.5694,10.092,0.0529,3.8757,0.106,0.005,0.0119,2.1012,0.0217,0.2313,1.7291,0.9529,0.0801,0.0,0.0,15
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas,245,4.2497,0.3928,0.2645,0.5006,0.0,0.6418,0.178,0.2284,10.839,0.1174,0.0579,2.2359,0.2113,0.1436,1.1869,0.0,9.45,15
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Propionivibrio,575,0.0379,0.0614,0.0176,0.0479,0.0,0.1133,0.2199,3.0741,0.1953,0.0626,0.0036,4.8728,0.0961,0.1016,2.7884,0.0,0.84,15
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,687,0.1138,0.1719,0.1036,0.0847,8.8936,0.0629,0.0008,0.3129,0.0,0.0078,0.0289,0.478,0.0192,0.0526,0.9306,0.0,0.0,14
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,671,0.0,0.0368,0.011,0.0276,0.3176,0.1007,0.0403,0.005,11.8498,0.09,0.1375,27.0162,0.2305,0.1857,1.9431,0.0,0.0,14
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,549,0.3035,0.3069,0.2292,0.335,0.0,2.7054,0.0,0.0,0.3998,7.1605,1.4328,1.2645,1.3641,1.2613,0.0587,5.11,1.25,14
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,676,0.3984,6.1748,0.4408,0.6626,0.0,0.5914,0.0063,0.005,0.0462,1.8195,0.0036,0.8481,2.4784,2.3719,0.0356,0.0,0.0,14
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,271,0.4933,0.7488,1.666,0.7602,0.1588,0.3398,0.0799,1.3955,0.0,3.3337,0.0145,0.6631,3.8232,4.2462,0.3096,0.0,0.0,14
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,674,3.2252,1.8782,0.2622,0.5283,0.0,0.3901,0.0087,0.0,0.1003,0.1839,0.1954,0.2467,0.1537,0.1857,0.0214,0.0,0.0,13
