Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_6,site_7,site_10,site_19,site_20,site_23,site_25,site_27,site_30,site_31,site_33,site_36,site_37,site_38,site_39,site_41,site_42,site_43,site_45,site_46,site_48,site_50,site_51,site_52,site_53,site_54,site_61,site_62,site_63,site_64,site_65,site_66,Influence
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,674,3.6,0.3516,0.94,17.1367,0.1445,0.0073,0.1121,0.0,0.0359,8.4082,0.2709,0.5354,0.2675,0.0107,0.0073,0.03,0.021,0.0394,0.0013,0.0948,0.0281,25.4909,0.0036,0.096,0.4965,0.6908,0.4649,0.1177,0.208,0.0,0.0544,0.0,29
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,17,8.84,1.9304,0.0,0.0,1.1702,0.0292,0.9487,0.0032,0.4752,16.6715,1.571,1.3354,1.1857,1.5999,1.089,9.2996,0.126,1.8329,0.0135,10.3039,41.7533,0.0,0.0036,0.0072,0.0,2.6088,0.7624,2.0323,1.9186,10.95,3.5384,12.14,28
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,143,0.0,3.3079,0.0,0.0002,0.3178,0.0049,2.3402,27.0783,0.1973,0.8118,9.4529,14.1749,4.4931,3.0006,1.4847,1.5831,3.5699,12.2192,14.1469,0.1207,12.8266,0.0151,0.1073,0.0004,0.0662,0.0286,0.5392,0.4187,0.4161,0.0,0.1633,0.0,28
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,110,0.0,2.1462,0.0,0.0,32.2595,0.0899,5.1978,0.0049,4.3934,0.0,0.0271,0.1353,0.031,7.0465,49.5952,47.3872,7.6858,2.9957,0.0148,0.5734,2.9222,0.0,0.0236,0.004,0.0,2.3206,0.3533,0.5713,0.6241,0.26,4.5182,0.4,26
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,572,0.0,4.9279,0.0,0.0034,0.0,12.4371,0.1639,1.4229,0.9504,0.0,4.7671,1.6692,1.1677,0.9167,0.9317,0.0413,3.2969,0.3055,3.66,0.1983,0.0983,0.0173,78.8367,0.0,0.0,0.0802,0.2045,0.1526,0.2774,6.99,1.5242,0.0,25
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,671,0.0,0.0194,0.79,0.4294,0.6501,6.8018,0.0604,0.0,3.053,0.0,0.0271,0.0331,0.0163,0.1478,0.1779,0.0075,2.373,2.4931,0.0,0.0819,0.1826,71.4236,0.0018,0.0486,0.0,0.0,0.1488,0.0218,0.0693,0.0,3.3206,0.0,24
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,491,0.0,0.0534,7.58,0.0,17.2782,1.825,0.4456,0.0,0.6366,0.0,3.1419,4.7009,1.732,0.0236,0.0992,0.6903,0.462,0.0,0.0081,6.3634,0.014,0.0518,0.0109,0.01,0.0,0.0859,0.7996,0.7283,0.9015,0.0,0.5444,0.0,24
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas,245,0.0,0.6451,0.0,0.0,1.0979,0.0292,0.1294,0.0,33.3229,0.0,0.623,0.1895,0.3392,0.9145,0.4029,2.5547,3.3599,0.0296,0.0027,20.8752,0.0562,0.0,0.5675,0.0024,0.0,26.2271,0.0372,0.266,0.1618,0.0,20.4137,0.37,24
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,587,0.0,2.9296,0.0,0.0,0.0578,2.6877,9.9644,32.1306,0.5156,0.0,0.2709,0.2707,0.1729,5.4637,4.4651,0.0038,0.546,58.2676,14.3491,0.0172,19.5701,0.0,0.0,14.9556,0.0,0.0,0.8181,3.2708,3.6755,2.85,0.4355,1.52,24
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,683,0.0,0.7736,0.0,0.0029,0.0867,1.1276,0.1265,0.2758,0.0045,0.0,1.4897,0.7158,0.6344,0.0021,0.0472,0.0263,0.0,0.0099,0.5242,0.0776,0.0,0.0324,4.1559,0.0,1.2799,0.0038,0.0186,0.0044,0.0462,0.0,0.0,0.0,23
