Genus,IDs_x,IDs_y
02d06,[],[]
A17,[],[]
biotrophia,"['1962354648', '1139277404', '1139277394', '1139277329', '1139277319', '1139276543', '1139275435', '1139275178', '1139274693', '1139274692', '1139270956', '1139269991', '1139267738', '1139267273', '1139267226', '1139267112', '1139267104', '1063149901', '162848880', '162848852']","['1962354648', '1139277404', '1139277394', '1139277329', '1139277319', '1139276543', '1139275435', '1139275178', '1139274693', '1139274692', '1139270956', '1139269991', '1139267738', '1139267273', '1139267226', '1139267112', '1139267104', '1063149901', '162848880', '162848852']"A
Acetanaerobacterium,['381140134'],['381140134']
Acetivibrio,"['2278607872', '1041791721', '1041791720', '1033474159', '1033472687', '930192088', '930192083', '862567581', '762207466', '586797656', '586797655', '586797654', '586797653', '586797652', '586797651', '586797650', '586797649', '586797648', '586797647', '586797646']","['2278607872', '1041791721', '1041791720', '1033474159', '1033472687', '930192088', '930192083', '862567581', '762207466', '586797656', '586797655', '586797654', '586797653', '586797652', '586797651', '586797650', '586797649', '586797648', '586797647', '586797646']"
Acetobacterium,"['1771880374', '1771880373', '1269613967', '1219553570', '1219553567', '1219553559', '1219553553', '1219553548', '1219553543', '1219553535', '1219553534', '1219553532', '1219553531', '1219553517', '1219553506', '1219553503', '1219553502', '1219553315', '1219553300', '1219553294']","['1771880374', '1771880373', '1269613967', '1219553570', '1219553567', '1219553559', '1219553553', '1219553548', '1219553543', '1219553535', '1219553534', '1219553532', '1219553531', '1219553517', '1219553506', '1219553503', '1219553502', '1219553315', '1219553300', '1219553294']"
Achromobacter,"['2283786013', '2283785997', '1046470029', '1046470028', '1046470027', '1985645123', '1877246360', '323507352', '1672810379', '1562068392', '1475926022', '1418093823', '1418093822', '1418093821', '1418093820', '1269612924', '1219553157', '1219553137', '1219553122', '1219553091']","['2283786013', '2283785997', '1046470029', '1046470028', '1046470027', '1985645123', '1877246360', '323507352', '1672810379', '1562068392', '1475926022', '1418093823', '1418093822', '1418093821', '1418093820', '1269612924', '1219553157', '1219553137', '1219553122', '1219553091']"
Acidaminobacter,[],[]
Acidibacter,[],[]
Acidicapsa,['319738207'],['319738207']
Acidiferrobacter,"['1985645861', '20798996']","['1985645861', '20798996']"
