uniprot_id	ec_number	protein_name	organism	score
A0A4Q1L3X6_9CELL	EC:4.2.1.126	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	Oerskovia turbata	250
A0A163T5B6_9CELL	EC:4.2.1.19	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	Oerskovia enterophila	250
A0A163SF44_9CELL	EC:4.2.1.2	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	Oerskovia enterophila	250
A0A163SRX5_9CELL	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Oerskovia enterophila	250
A0A923KW24_9FIRM	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Acetobacterium paludosum	50
A0A0M7Q1L8_9BURK	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Achromobacter sp	50
A0A963YNJ0_9PROT	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Acidisoma silvae	50
TRPA_ACIET	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Acidovorax ebreus (strain TPSY) (Diaphorobacter sp. (strain TPSY))	50
A0A8I1RSI0_9BRAD	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Afipia sp	50
A0A7X0D9Y6_9BACI	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Anoxybacillus tengchongensis	50
A0A975XU86_9RHOO	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Azospira inquinata	50
TRPB_BACAN	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Bacillus anthracis	50
M1RSS5_9PROT	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	beta proteobacterium CB	50
A0A2V3V9A5_9SPHN	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Blastomonas natatoria	50
A0A220UGD3_9MICO	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Brachybacterium avium	50
A0A525JYS7_BRASZ	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Bradyrhizobium sp	50
A0A2N6PKV1_9MICO	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Brevibacterium luteolum	50
A0A2D8FNY5_9CAUL	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Brevundimonas sp	50
A0A949KEQ9_9FIRM	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Desulforudis sp	50
A0A290MNZ7_CAUVI	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Caulobacter vibrioides (Caulobacter crescentus)	50
A0A3G6RGM2_CHRLC	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Chryseobacterium lactis	50
TRPB_CLONN	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Clostridium novyi (strain NT)	50
TRPA_CORGB	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Corynebacterium glutamicum (strain R)	50
A0A3E2DHB6_9ACTN	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Cutibacterium avidum	50
TRPA_DECAR	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Dechloromonas aromatica (strain RCB)	50
A0A923A4K0_9BACT	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Desulfobacterium sp	50
A0A3A6MU09_9BACT	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Desulfobulbus sp	50
A0A3D5BQK6_9BACT	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Desulfomicrobium sp	50
A0A0A2U398_9FIRM	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Desulfosporosinus sp. Tol-M	50
A0A359H7R4_9FIRM	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Desulfotomaculum sp	50
A0A525C010_9BACT	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Desulfovibrio sp	50
A0A1T4SVN6_9HYPH	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Enhydrobacter aerosaccus	50
A0A940LCR6_9BACT	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Flavisolibacter sp	50
A0A3D2NQ03_9PROT	EC:4.2.1.20	tryptophan synthase (EC 4.2.1.20)	Gallionella sp	50
A0A9C7AQK6_9THEO	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Gelria sp. Kuro-4	-50
A0A8J8KYT3_9BACT	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Geothrix sp	50
A0A2D5MFG7_HALSX	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Halomonas sp	50
A0A2E7P4R4_9BURK	EC:4.2.1.20	Tryptophan synthase alpha chain (EC 4.2.1.20)	Herbaspirillum sp	50
A0A4P6WWY9_HYDPS	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Hydrogenophaga pseudoflava (Pseudomonas carboxydoflava)	50
TRPB_LEGPC	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Legionella pneumophila (strain Corby)	50
A0A2S5LBA0_9HYPH	EC:4.2.1.20	tryptophan synthase (EC 4.2.1.20)	Methylocystis sp	50
A0A4Y8X5M1_9MICC	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Micrococcus flavus	50
TRPB_MYCIT	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Mycobacterium intracellulare	50
A0A7W6D5K0_9HYPH	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Mycoplana azooxidifex	50
TRPB_NEIGO	EC:4.2.1.20	Tryptophan synthase beta chain (EC 4.2.1.20)	Neisseria gonorrhoeae	50
