uniprot_id	ec_number	protein_name	organism	score
TERPD_PSESP	EC:1.1.1.1	Probable alcohol dehydrogenase (EC 1.1.1.1)	Pseudomonas	450
C0QM54_DESAH	EC:1.1.1.1	Zn-dependet alcohol dehydrogenase (EC 1.1.1.1)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A0N8KHX5_9SPHN	EC:1.1.1.1	Alcohol dehydrogenase, class IV (EC 1.1.1.1)	Porphyrobacter sp. HL-46	250
A0A973YMR9_9MICC	EC:1.1.1.1	alcohol dehydrogenase (EC 1.1.1.1)	Pseudarthrobacter sp	650
A0A0N0JEH7_9PROT	EC:1.1.1.100	3-ketoacyl-ACP reductase (EC 1.1.1.100)	beta proteobacterium AAP65	150
C0QHF7_DESAH	EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase (3-ketoacyl-acyl carrier protein reductase) (EC 1.1.1.100)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
J2LLP7_9BURK	EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)	Herbaspirillum sp. CF444	250
A0AAJ1WE37_9MICC	EC:1.1.1.100	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	Pseudarthrobacter niigatensis	650
B8HFK4_PSECP	EC:1.1.1.103	L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103)	Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) (Arthrobacter chlorophenolicus)	250
A0AAW8N7Y7_PSEOX	EC:1.1.1.105	All-trans-retinol dehydrogenase (NAD+) (EC 1.1.1.105)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
D8IX95_HERSS	EC:1.1.1.11	D-arabinitol 4-dehydrogenase protein (EC 1.1.1.11, EC 1.1.1.13)	Herbaspirillum seropedicae (strain SmR1)	250
A0AAW8NG76_PSEOX	EC:1.1.1.122	D-threo-aldose 1-dehydrogenase (EC 1.1.1.122)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0A0N1A6F1_9PROT	EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	beta proteobacterium AAP65	150
C0QDJ8_DESAH	EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A2E7P0W4_9BURK	EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	Herbaspirillum sp	650
